 15.1 1.2938e+00  13 6.01240e-02  
 15.2 1.3005e+00  13 6.24667e-02  
 15.3 1.3072e+00  13 6.36737e-02  
 15.4 1.3138e+00  13 6.60056e-02  
 15.5 1.3294e+00  13 6.99577e-02  
 15.6 1.3363e+00  13 7.22231e-02  
 15.7 1.3431e+00  13 7.37835e-02  
 15.8 1.3499e+00  13 7.63182e-02  
 15.9 1.3567e+00  13 7.77467e-02  
 16.0 1.3635e+00  13 8.05284e-02  
 16.1 1.3703e+00  13 8.18453e-02  
 16.2 1.3771e+00  13 8.48571e-02  
 16.3 1.3838e+00  13 8.60886e-02  
 16.4 1.3906e+00  13 8.93199e-02  
 16.5 1.3973e+00  13 9.04821e-02  
 16.6 1.4040e+00  13 9.39213e-02  
 16.7 1.4107e+00  13 9.51123e-02  
 16.8 1.4174e+00  13 9.86599e-02  
 16.9 1.4241e+00  13 9.98723e-02  
 17.0 1.4306e+00  13 1.03481e-01  
 17.1 1.4372e+00  13 1.04616e-01  
 17.2 1.4438e+00  13 1.08464e-01  
 17.3 1.4622e+00  13 1.14515e-01  
 17.4 1.4690e+00  13 1.18332e-01  
 17.5 1.4758e+00  13 1.19939e-01  
 17.6 1.4825e+00  13 1.23952e-01  
 17.7 1.4892e+00  13 1.25551e-01  
 17.8 1.4959e+00  13 1.29691e-01  
 17.9 1.5026e+00  13 1.31353e-01  
 18.0 1.5093e+00  13 1.35622e-01  
 18.1 1.5160e+00  13 1.37355e-01  
 18.2 1.5227e+00  13 1.39362e-01  
 18.3 1.5293e+00  13 1.40472e-01  
 18.4 1.5360e+00  13 1.41438e-01  
 18.5 1.5426e+00  13 1.42397e-01  
 18.6 1.5493e+00  13 1.42081e-01  
 18.7 1.5559e+00  13 1.42993e-01  
 18.8 1.5625e+00  13 1.43993e-01  
 18.9 1.5691e+00  13 1.45277e-01  
 19.0 1.5756e+00  13 1.44509e-01  
 19.1 1.5824e+00  13 1.45379e-01  
 19.2 1.5890e+00  13 1.46458e-01  
 19.3 1.5955e+00  13 1.47456e-01  
 19.4 1.6017e+00  13 1.46731e-01  
 19.5 1.6082e+00  13 1.47467e-01  
 19.6 1.6146e+00  13 1.48147e-01  
 19.7 1.6211e+00  13 1.49494e-01  
 19.8 1.6275e+00  13 1.48850e-01  
 19.9 1.6508e+00  13 1.51104e-01  
 20.0 1.6575e+00  13 1.52420e-01  
 20.1 1.6641e+00  13 1.51746e-01  
 20.2 1.6708e+00  13 1.52154e-01  
 20.3 1.6768e+00  13 1.52933e-01  
 20.4 1.6834e+00  13 1.52912e-01  
 20.5 1.6899e+00  13 1.53395e-01  
 20.6 1.6965e+00  13 1.53742e-01  
 20.7 1.7030e+00  13 1.53983e-01  
 20.8 1.7095e+00  13 1.54274e-01  
 20.9 1.7160e+00  13 1.54562e-01  
 21.0 1.7225e+00  13 1.54848e-01  
 21.1 1.7290e+00  13 1.55129e-01  
 21.2 1.7354e+00  13 1.55400e-01  
 21.3 1.7419e+00  13 1.55650e-01  
 21.4 1.7483e+00  13 1.55896e-01  
 21.5 1.7547e+00  13 1.56134e-01  
 21.6 1.7611e+00  13 1.56333e-01  
 21.7 1.7706e+00  13 1.57429e-01  
 21.8 1.7802e+00  13 1.58557e-01  
 21.9 1.7899e+00  13 1.59654e-01  
 22.0 1.7995e+00  13 1.60746e-01  
 22.1 1.8092e+00  13 1.61831e-01  
 22.2 1.8189e+00  13 1.62908e-01  
 22.3 1.8287e+00  13 1.63982e-01  
 22.4 1.8384e+00  13 1.65061e-01  
 22.5 1.8486e+00  13 1.66220e-01  
 22.6 1.8586e+00  13 1.67318e-01  
 22.7 1.8686e+00  13 1.68380e-01  
 22.8 1.8786e+00  13 1.69424e-01  
 22.9 1.8886e+00  13 1.70469e-01  
 23.0 1.8987e+00  13 1.71950e-01  
 23.1 1.8560e+00  13 1.63437e-01  
 23.2 1.8623e+00  13 1.63740e-01  
 23.3 1.8636e+00  13 1.73520e-01  
 23.4 1.8630e+00  13 1.73492e-01  
 23.5 1.8627e+00  13 1.73480e-01  
 23.6 1.8639e+00  13 1.73537e-01  
 23.7 1.8633e+00  13 1.73509e-01  
 23.8 1.8638e+00  13 1.73533e-01  
 23.9 1.8642e+00  13 1.73550e-01  
 24.0 1.8645e+00  13 1.73566e-01  
 24.1 1.8667e+00  13 1.73672e-01  
 24.2 1.8665e+00  13 1.73661e-01  
 24.3 1.8676e+00  13 1.73715e-01  
 24.4 1.8679e+00  13 1.73730e-01  
 24.5 1.8677e+00  13 1.73720e-01  
 24.6 1.8687e+00  13 1.73768e-01  
 24.7 1.8691e+00  13 1.73788e-01  
 24.8 1.8708e+00  13 1.73871e-01  
 24.9 1.8696e+00  13 1.73811e-01  
 25.0 1.8709e+00  13 1.73873e-01  
 25.1 1.8714e+00  13 1.73899e-01  
 25.2 1.8720e+00  13 1.73926e-01  
 25.3 1.8737e+00  13 1.74008e-01  
 25.4 1.8740e+00  13 1.74024e-01  
 25.5 1.8733e+00  13 1.73989e-01  
 25.6 1.8741e+00  13 1.74031e-01  
 25.7 1.8748e+00  13 1.74063e-01  
 25.8 1.8743e+00  13 1.74037e-01  
 25.9 1.8770e+00  13 1.74167e-01  
 26.0 1.8770e+00  13 1.74165e-01  
 26.1 1.8763e+00  13 1.74136e-01  
 26.2 1.8775e+00  13 1.74190e-01  
 26.3 1.8791e+00  13 1.74267e-01  
 26.4 1.8789e+00  13 1.74256e-01  
 26.5 1.8787e+00  13 1.74248e-01  
 26.6 1.8797e+00  13 1.74294e-01  
 26.7 1.8810e+00  13 1.74359e-01  
 26.8 1.8809e+00  13 1.74351e-01  
 26.9 1.8820e+00  13 1.74403e-01  
 27.0 1.8824e+00  13 1.74423e-01  
 27.1 1.8832e+00  13 1.74463e-01  
 27.2 1.8848e+00  13 1.74536e-01  
 27.3 1.8849e+00  13 1.74541e-01  
 27.4 1.8861e+00  13 1.74599e-01  
