 15.1 1.4590e+00  13 4.50667e-02  
 15.2 1.4666e+00  13 4.54175e-02  
 15.3 1.4741e+00  13 4.57641e-02  
 15.4 1.4816e+00  13 4.61066e-02  
 15.5 1.4891e+00  13 4.64451e-02  
 15.6 1.4966e+00  13 4.67797e-02  
 15.7 1.5042e+00  13 4.71105e-02  
 15.8 1.5117e+00  13 4.74374e-02  
 15.9 1.5192e+00  13 4.77608e-02  
 16.0 1.5267e+00  13 4.80806e-02  
 16.1 1.5342e+00  13 4.83968e-02  
 16.2 1.5417e+00  13 4.87095e-02  
 16.3 1.5492e+00  13 4.90187e-02  
 16.4 1.5567e+00  13 4.93243e-02  
 16.5 1.5642e+00  13 4.96265e-02  
 16.6 1.5717e+00  13 4.99253e-02  
 16.7 1.5792e+00  13 5.02207e-02  
 16.8 1.5867e+00  13 5.05128e-02  
 16.9 1.5942e+00  13 5.08017e-02  
 17.0 1.6017e+00  13 5.10874e-02  
 17.1 1.6092e+00  13 5.13700e-02  
 17.2 1.6167e+00  13 5.15813e-02  
 17.3 1.6242e+00  13 5.18569e-02  
 17.4 1.6317e+00  13 5.21293e-02  
 17.5 1.6392e+00  13 5.23990e-02  
 17.6 1.6467e+00  13 5.26657e-02  
 17.7 1.6541e+00  13 5.29296e-02  
 17.8 1.6616e+00  13 5.31908e-02  
 17.9 1.6691e+00  13 5.34492e-02  
 18.0 1.6766e+00  13 5.37049e-02  
 18.1 1.6841e+00  13 5.39579e-02  
 18.2 1.6915e+00  13 5.42083e-02  
 18.3 1.7030e+00  13 5.47643e-02  
 18.4 1.7152e+00  13 5.53698e-02  
 18.5 1.7276e+00  13 5.59770e-02  
 18.6 1.7400e+00  13 5.65860e-02  
 18.7 1.7524e+00  13 5.71969e-02  
 18.8 1.7650e+00  13 5.78097e-02  
 18.9 1.7777e+00  13 5.84242e-02  
 19.0 1.7905e+00  13 5.90409e-02  
 19.1 1.8034e+00  13 5.96597e-02  
 19.2 1.8164e+00  13 6.02805e-02  
 19.3 1.8294e+00  13 6.09035e-02  
 19.4 1.8426e+00  13 6.15287e-02  
 19.5 1.8559e+00  13 6.21562e-02  
 19.6 1.8692e+00  13 6.27859e-02  
 19.7 1.8827e+00  13 6.34180e-02  
 19.8 1.8963e+00  13 6.40525e-02  
 19.9 1.9100e+00  13 6.46894e-02  
 20.0 1.9237e+00  13 6.53288e-02  
 20.1 1.7533e+01  14 1.00000e+00  
 20.2 1.7616e+01  14 1.00000e+00  
 20.3 1.7699e+01  14 1.00000e+00  
 20.4 1.7782e+01  14 1.00000e+00  
 20.5 1.7865e+01  14 1.00000e+00  
