 15.1 1.4591e+00  13 4.50637e-02  
 15.2 1.4666e+00  13 4.54143e-02  
 15.3 1.4742e+00  13 4.57607e-02  
 15.4 1.4817e+00  13 4.61031e-02  
 15.5 1.4892e+00  13 4.64414e-02  
 15.6 1.4967e+00  13 4.67758e-02  
 15.7 1.5042e+00  13 4.71065e-02  
 15.8 1.5117e+00  13 4.74334e-02  
 15.9 1.5192e+00  13 4.77567e-02  
 16.0 1.5267e+00  13 4.80763e-02  
 16.1 1.5342e+00  13 4.83922e-02  
 16.2 1.5418e+00  13 4.87044e-02  
 16.3 1.5493e+00  13 4.90132e-02  
 16.4 1.5568e+00  13 4.93183e-02  
 16.5 1.5643e+00  13 4.96200e-02  
 16.6 1.5718e+00  13 4.99183e-02  
 16.7 1.5792e+00  13 5.02132e-02  
 16.8 1.5867e+00  13 5.04405e-02  
 16.9 1.5942e+00  13 5.07280e-02  
 17.0 1.6017e+00  13 5.10123e-02  
 17.1 1.6092e+00  13 5.12935e-02  
 17.2 1.6167e+00  13 5.15715e-02  
 17.3 1.6242e+00  13 5.18465e-02  
 17.4 1.6317e+00  13 5.21186e-02  
 17.5 1.6392e+00  13 5.23878e-02  
 17.6 1.6466e+00  13 5.26541e-02  
 17.7 1.6541e+00  13 5.29176e-02  
 17.8 1.6616e+00  13 5.31782e-02  
 17.9 1.6691e+00  13 5.34362e-02  
 18.0 1.6766e+00  13 5.36915e-02  
 18.1 1.6840e+00  13 5.39440e-02  
 18.2 1.6922e+00  13 5.42495e-02  
 18.3 1.7044e+00  13 5.48540e-02  
 18.4 1.7166e+00  13 5.54602e-02  
 18.5 1.7289e+00  13 5.60681e-02  
 18.6 1.7413e+00  13 5.66778e-02  
 18.7 1.7538e+00  13 5.72892e-02  
 18.8 1.7664e+00  13 5.79026e-02  
 18.9 1.7791e+00  13 5.85181e-02  
 19.0 1.7919e+00  13 5.91355e-02  
 19.1 1.8048e+00  13 5.97550e-02  
 19.2 1.8178e+00  13 6.03765e-02  
 19.3 1.8309e+00  13 6.10003e-02  
 19.4 1.8441e+00  13 6.16262e-02  
 19.5 1.8574e+00  13 6.22544e-02  
 19.6 1.8708e+00  13 6.28849e-02  
 19.7 1.8843e+00  13 6.35178e-02  
 19.8 1.8979e+00  13 6.41530e-02  
 19.9 1.9116e+00  13 6.47907e-02  
 20.0 1.7453e+01  14 1.00000e+00  
 20.1 1.7536e+01  14 1.00000e+00  
 20.2 1.7619e+01  14 1.00000e+00  
 20.3 1.7702e+01  14 1.00000e+00  
 20.4 1.7785e+01  14 1.00000e+00  
 20.5 1.7868e+01  14 1.00000e+00  
 20.6 1.7951e+01  14 1.00000e+00  
 20.7 1.8035e+01  14 1.00000e+00  
 20.8 1.8117e+01  14 1.00000e+00  
 20.9 1.8200e+01  14 1.00000e+00  
 21.0 1.8283e+01  14 1.00000e+00  
 21.1 1.8366e+01  14 1.00000e+00  
 21.2 1.8449e+01  14 1.00000e+00  
 21.3 1.8532e+01  14 1.00000e+00  
 21.4 1.8614e+01  14 1.00000e+00  
 21.5 1.8697e+01  14 1.00000e+00  
 21.6 1.8780e+01  14 1.00000e+00  
 21.7 1.8862e+01  14 1.00000e+00  
 21.8 1.8945e+01  14 1.00000e+00  
 21.9 1.9027e+01  14 1.00000e+00  
 22.0 1.9109e+01  14 1.00000e+00  
 22.1 1.9192e+01  14 1.00000e+00  
 22.2 1.9274e+01  14 1.00000e+00  
 22.3 1.9356e+01  14 1.00000e+00  
 22.4 1.9439e+01  14 1.00000e+00  
 22.5 1.9521e+01  14 1.00000e+00  
 22.6 1.9603e+01  14 1.00000e+00  
 22.7 1.9685e+01  14 1.00000e+00  
 22.8 1.9767e+01  14 1.00000e+00  
 22.9 5.5556e+00  14 2.45690e-01  
 23.0 5.6717e+00  14 2.50732e-01  
 23.1 5.7893e+00  14 2.55815e-01  
 23.2 5.9086e+00  14 2.60939e-01  
 23.3 6.0295e+00  14 2.66103e-01  
 23.4 6.1520e+00  14 2.71308e-01  
 23.5 6.2761e+00  14 2.76552e-01  
 23.6 6.4019e+00  14 2.81837e-01  
 23.7 6.5292e+00  14 2.87161e-01  
 23.8 6.6582e+00  14 2.92524e-01  
 23.9 6.7889e+00  14 2.97927e-01  
 24.0 6.9211e+00  14 3.03369e-01  
 24.1 7.0551e+00  14 3.08850e-01  
 24.2 7.1907e+00  14 3.14370e-01  
 24.3 7.3279e+00  14 3.19928e-01  
 24.4 7.4668e+00  14 3.25525e-01  
 24.5 7.6074e+00  14 3.31161e-01  
 24.6 7.7496e+00  14 3.36834e-01  
 24.7 7.8935e+00  14 3.42546e-01  
 24.8 8.0392e+00  14 3.48295e-01  
 24.9 8.1865e+00  14 3.54082e-01  
 25.0 8.3355e+00  14 3.59907e-01  
 25.1 8.4862e+00  14 3.65770e-01  
 25.2 8.6386e+00  14 3.71670e-01  
 25.3 8.7927e+00  14 3.77607e-01  
 25.4 8.9486e+00  14 3.83581e-01  
 25.5 9.1061e+00  14 3.89593e-01  
 25.6 9.2655e+00  14 3.95641e-01  
 25.7 9.4265e+00  14 4.01726e-01  
 25.8 9.5893e+00  14 4.07848e-01  
 25.9 9.7537e+00  14 4.14011e-01  
 26.0 9.9199e+00  14 4.20209e-01  
 26.1 1.0088e+01  14 4.26443e-01  
 26.2 1.0258e+01  14 4.32713e-01  
 26.3 1.0429e+01  14 4.39019e-01  
 26.4 1.0602e+01  14 4.45362e-01  
 26.5 1.0777e+01  14 4.51741e-01  
 26.6 1.0954e+01  14 4.58161e-01  
 26.7 1.1115e+01  14 4.64949e-01  
 26.8 1.1295e+01  14 4.71431e-01  
 26.9 1.1477e+01  14 4.77948e-01  
 27.0 1.1660e+01  14 4.84502e-01  
 27.1 1.1845e+01  14 4.91092e-01  
 27.2 1.2032e+01  14 4.97717e-01  
 27.3 1.2220e+01  14 5.04382e-01  
 27.4 1.2411e+01  14 5.11080e-01  
 27.5 1.2603e+01  14 5.17814e-01  
 27.6 1.2775e+01  14 5.24878e-01  
 27.7 1.2970e+01  14 5.31676e-01  
 27.8 1.3167e+01  14 5.38508e-01  
 27.9 1.3366e+01  14 5.45376e-01  
 28.0 1.3567e+01  14 5.52280e-01  
 28.1 1.3769e+01  14 5.59222e-01  
 28.2 1.3973e+01  14 5.66197e-01  
 28.3 1.4179e+01  14 5.73207e-01  
 28.4 1.4387e+01  14 5.80251e-01  
