 15.1 1.4553e+00  13 4.49276e-02  
 15.2 1.4629e+00  13 4.52868e-02  
 15.3 1.4704e+00  13 4.56417e-02  
 15.4 1.4780e+00  13 4.59922e-02  
 15.5 1.4856e+00  13 4.62883e-02  
 15.6 1.4931e+00  13 4.66300e-02  
 15.7 1.5007e+00  13 4.69677e-02  
 15.8 1.5082e+00  13 4.73015e-02  
 15.9 1.5158e+00  13 4.76318e-02  
 16.0 1.5234e+00  13 4.79586e-02  
 16.1 1.5309e+00  13 4.82818e-02  
 16.2 1.5385e+00  13 4.86017e-02  
 16.3 1.5460e+00  13 4.89183e-02  
 16.4 1.5536e+00  13 4.92314e-02  
 16.5 1.5611e+00  13 4.95411e-02  
 16.6 1.5687e+00  13 4.98472e-02  
 16.7 1.5762e+00  13 5.01501e-02  
 16.8 1.5838e+00  13 5.04495e-02  
 16.9 1.5913e+00  13 5.07459e-02  
 17.0 1.5989e+00  13 5.10390e-02  
 17.1 1.6064e+00  13 5.13289e-02  
 17.2 1.6139e+00  13 5.16157e-02  
 17.3 1.6215e+00  13 5.18996e-02  
 17.4 1.6290e+00  13 5.21804e-02  
 17.5 1.6366e+00  13 5.24583e-02  
 17.6 1.6441e+00  13 5.27332e-02  
 17.7 1.6516e+00  13 5.29340e-02  
 17.8 1.6592e+00  13 5.32024e-02  
 17.9 1.6667e+00  13 5.34680e-02  
 18.0 1.6742e+00  13 5.37307e-02  
 18.1 1.6817e+00  13 5.39910e-02  
 18.2 1.6893e+00  13 5.42486e-02  
 18.3 1.6968e+00  13 5.45037e-02  
 18.4 1.7043e+00  13 5.47561e-02  
 18.5 1.7118e+00  13 5.50061e-02  
 18.6 1.7230e+00  13 5.55328e-02  
 18.7 1.7353e+00  13 5.61377e-02  
 18.8 1.7477e+00  13 5.67444e-02  
 18.9 1.7602e+00  13 5.73530e-02  
 19.0 1.7727e+00  13 5.79636e-02  
 19.1 1.7854e+00  13 5.85761e-02  
 19.2 1.7982e+00  13 5.91907e-02  
 19.3 1.8110e+00  13 5.98073e-02  
 19.4 1.8240e+00  13 6.04261e-02  
 19.5 1.8370e+00  13 6.10471e-02  
 19.6 1.8502e+00  13 6.16701e-02  
 19.7 1.8634e+00  13 6.22956e-02  
 19.8 1.8768e+00  13 6.29235e-02  
 19.9 1.8902e+00  13 6.35537e-02  
 20.0 1.9037e+00  13 6.41863e-02  
 20.1 1.9174e+00  13 6.48215e-02  
 20.2 1.7548e+01  14 1.00000e+00  
 20.3 1.7630e+01  14 1.00000e+00  
 20.4 1.7712e+01  14 1.00000e+00  
 20.5 1.7794e+01  14 1.00000e+00  
 20.6 1.7876e+01  14 1.00000e+00  
 20.7 1.7958e+01  14 1.00000e+00  
 20.8 1.8040e+01  14 1.00000e+00  
 20.9 1.8122e+01  14 1.00000e+00  
 21.0 1.8203e+01  14 1.00000e+00  
 21.1 1.8285e+01  14 1.00000e+00  
 21.2 1.8367e+01  14 1.00000e+00  
 21.3 1.8449e+01  14 1.00000e+00  
 21.4 1.8530e+01  14 1.00000e+00  
 21.5 1.8611e+01  14 1.00000e+00  
 21.6 1.8692e+01  14 1.00000e+00  
 21.7 1.8740e+01  14 1.00000e+00  
 21.8 1.8820e+01  14 1.00000e+00  
 21.9 1.8900e+01  14 1.00000e+00  
 22.0 1.8980e+01  14 1.00000e+00  
 22.1 1.9061e+01  14 1.00000e+00  
 22.2 1.9141e+01  14 1.00000e+00  
 22.3 1.9220e+01  14 1.00000e+00  
 22.4 1.9299e+01  14 1.00000e+00  
 22.5 1.9378e+01  14 1.00000e+00  
 22.6 1.9424e+01  14 1.00000e+00  
 22.7 1.9502e+01  14 1.00000e+00  
 22.8 1.9580e+01  14 1.00000e+00  
 22.9 1.9658e+01  14 1.00000e+00  
 23.0 1.9738e+01  14 1.00000e+00  
 23.1 5.5543e+00  14 2.46045e-01  
 23.2 5.6687e+00  14 2.51059e-01  
 23.3 5.7846e+00  14 2.56120e-01  
 23.4 5.9020e+00  14 2.61220e-01  
 23.5 6.0197e+00  14 2.66778e-01  
 23.6 6.1398e+00  14 2.71950e-01  
 23.7 6.2615e+00  14 2.77160e-01  
 23.8 6.3847e+00  14 2.82397e-01  
 23.9 6.5094e+00  14 2.87669e-01  
 24.0 6.6356e+00  14 2.92997e-01  
 24.1 6.7633e+00  14 2.98364e-01  
 24.2 6.8926e+00  14 3.03768e-01  
 24.3 7.0196e+00  14 3.09596e-01  
 24.4 7.1516e+00  14 3.15069e-01  
 24.5 7.2851e+00  14 3.20579e-01  
 24.6 7.4200e+00  14 3.26133e-01  
 24.7 7.5566e+00  14 3.31714e-01  
 24.8 7.6949e+00  14 3.37320e-01  
 24.9 7.8344e+00  14 3.42981e-01  
 25.0 7.9756e+00  14 3.48678e-01  
 25.1 8.1182e+00  14 3.54411e-01  
 25.2 8.2556e+00  14 3.60535e-01  
 25.3 8.4009e+00  14 3.66338e-01  
 25.4 8.5477e+00  14 3.72178e-01  
 25.5 8.6961e+00  14 3.78055e-01  
 25.6 8.8462e+00  14 3.83957e-01  
 25.7 8.9981e+00  14 3.89887e-01  
 25.8 9.1512e+00  14 3.95867e-01  
 25.9 9.3056e+00  14 4.01887e-01  
 26.0 9.4617e+00  14 4.07942e-01  
 26.1 9.6091e+00  14 4.14346e-01  
 26.2 9.7679e+00  14 4.20466e-01  
 26.3 9.9282e+00  14 4.26621e-01  
 26.4 1.0090e+01  14 4.32811e-01  
 26.5 1.0253e+01  14 4.39032e-01  
 26.6 1.0419e+01  14 4.45268e-01  
 26.7 1.0586e+01  14 4.51564e-01  
 26.8 1.0754e+01  14 4.57893e-01  
 26.9 1.0923e+01  14 4.64257e-01  
 27.0 1.1080e+01  14 4.70935e-01  
 27.1 1.1253e+01  14 4.77362e-01  
 27.2 1.1426e+01  14 4.83822e-01  
 27.3 1.1602e+01  14 4.90317e-01  
 27.4 1.1778e+01  14 4.96848e-01  
 27.5 1.1958e+01  14 5.03388e-01  
 27.6 1.2138e+01  14 5.09986e-01  
 27.7 1.2320e+01  14 5.16618e-01  
 27.8 1.2503e+01  14 5.23282e-01  
 27.9 1.2669e+01  14 5.30228e-01  
 28.0 1.2855e+01  14 5.36954e-01  
 28.1 1.3042e+01  14 5.43714e-01  
 28.2 1.3231e+01  14 5.50507e-01  
 28.3 1.3421e+01  14 5.57337e-01  
 28.4 1.3614e+01  14 5.64179e-01  
 28.5 1.3808e+01  14 5.71074e-01  
 28.6 1.4003e+01  14 5.78001e-01  
 28.7 1.4199e+01  14 5.84961e-01  
 28.8 1.4374e+01  14 5.92168e-01  
 28.9 1.4573e+01  14 5.99189e-01  
 29.0 1.4774e+01  14 6.06242e-01  
 29.1 1.4976e+01  14 6.13332e-01  
 29.2 1.5180e+01  14 6.20453e-01  
 29.3 1.5387e+01  14 6.27591e-01  
 29.4 1.5594e+01  14 6.34776e-01  
 29.5 1.5802e+01  14 6.41995e-01  
 29.6 1.6012e+01  14 6.49246e-01  
 29.7 1.6195e+01  14 6.56710e-01  
 29.8 1.6408e+01  14 6.64020e-01  
 29.9 1.6622e+01  14 6.71364e-01  
 30.0 1.6837e+01  14 6.78743e-01  
 30.1 1.7053e+01  14 6.86153e-01  
 30.2 1.7272e+01  14 6.93589e-01  
 30.3 1.7495e+01  14 7.01051e-01  
 30.4 1.7717e+01  14 7.08557e-01  
 30.5 1.7940e+01  14 7.16095e-01  
 30.6 1.8130e+01  14 7.23813e-01  
 30.7 1.8355e+01  14 7.31412e-01  
 30.8 1.8582e+01  14 7.39043e-01  
 30.9 1.8811e+01  14 7.46707e-01  
 31.0 1.9041e+01  14 7.54404e-01  
 31.1 1.9272e+01  14 7.62133e-01  
 31.2 1.9509e+01  14 7.69881e-01  
 31.3 1.9744e+01  14 7.77674e-01  
 31.4 1.9981e+01  14 7.85498e-01  
 31.5 2.0176e+01  14 7.93467e-01  
 31.6 2.0415e+01  14 8.01352e-01  
 31.7 2.0655e+01  14 8.09268e-01  
 31.8 2.0897e+01  14 8.17217e-01  
 31.9 2.1140e+01  14 8.25197e-01  
 32.0 2.1384e+01  14 8.33210e-01  
 32.1 2.1633e+01  14 8.41251e-01  
 32.2 2.1883e+01  14 8.49324e-01  
 32.3 2.2132e+01  14 8.57433e-01  
 32.4 2.2383e+01  14 8.65574e-01  
 32.5 2.2584e+01  14 8.73817e-01  
 32.6 2.2837e+01  14 8.82017e-01  
 32.7 2.3092e+01  14 8.90249e-01  
 32.8 2.3348e+01  14 8.98514e-01  
 32.9 2.3605e+01  14 9.06810e-01  
 33.0 2.3864e+01  14 9.15139e-01  
 33.1 2.4129e+01  14 9.23496e-01  
 33.2 2.4392e+01  14 9.31920e-01  
 33.3 2.4655e+01  14 9.40346e-01  
 33.4 2.4860e+01  14 9.48832e-01  
 33.5 2.5126e+01  14 9.57317e-01  
 33.6 2.5393e+01  14 9.65833e-01  
 33.7 2.5661e+01  14 9.74382e-01  
 33.8 2.5931e+01  14 9.82962e-01  
 33.9 2.6203e+01  14 9.91575e-01  
 34.0 2.6472e+01  14 1.00000e+00  
 34.1 2.6529e+01  14 1.00000e+00  
 34.2 2.6580e+01  14 1.00000e+00  
 34.3 2.6562e+01  14 1.00000e+00  
 34.4 2.6613e+01  14 1.00000e+00  
 34.5 2.6664e+01  14 1.00000e+00  
 34.6 2.6714e+01  14 1.00000e+00  
 34.7 2.6764e+01  14 1.00000e+00  
 34.8 2.6814e+01  14 1.00000e+00  
 34.9 2.6863e+01  14 1.00000e+00  
 35.0 2.6788e+01  14 1.00000e+00  
 35.1 2.6840e+01  14 1.00000e+00  
 35.2 2.6889e+01  14 1.00000e+00  
 35.3 2.6865e+01  14 1.00000e+00  
 35.4 2.6913e+01  14 1.00000e+00  
 35.5 2.6819e+01  14 1.00000e+00  
 35.6 2.6867e+01  14 1.00000e+00  
 35.7 2.6915e+01  14 1.00000e+00  
 35.8 2.6962e+01  14 1.00000e+00  
 35.9 2.7009e+01  14 1.00000e+00  
 36.0 2.6920e+01  14 1.00000e+00  
 36.1 2.6967e+01  14 1.00000e+00  
 36.2 2.7014e+01  14 1.00000e+00  
 36.3 2.6981e+01  14 1.00000e+00  
 36.4 2.7028e+01  14 1.00000e+00  
 36.5 2.5740e+01  14 1.00000e+00  
 36.6 2.3118e+01  14 1.00000e+00  
 36.7 2.1792e+01  14 1.00000e+00  
 36.8 1.9187e+01  14 1.00000e+00  
 36.9 1.7880e+01  14 1.00000e+00  
 37.0 1.4921e+01  14 1.00000e+00  
 37.1 1.3838e+01  14 1.00000e+00  
 37.2 1.3745e+01  14 1.00000e+00  
 37.3 1.3712e+01  14 1.00000e+00  
 37.4 1.3689e+01  14 1.00000e+00  
 37.5 1.3711e+01  14 1.00000e+00  
 37.6 1.3599e+01  14 1.00000e+00  
 37.7 1.3559e+01  14 1.00000e+00  
 37.8 1.3594e+01  14 1.00000e+00  
 37.9 1.3465e+01  14 1.00000e+00  
 38.0 1.3431e+01  14 1.00000e+00  
 38.1 1.3390e+01  14 1.00000e+00  
 38.2 1.3345e+01  14 1.00000e+00  
 38.3 1.3326e+01  14 1.00000e+00  
 38.4 1.3357e+01  14 1.00000e+00  
 38.5 1.3303e+01  14 1.00000e+00  
 38.6 1.3257e+01  14 1.00000e+00  
 38.7 1.3189e+01  14 9.99259e-01  
 38.8 1.3111e+01  14 9.95319e-01  
 38.9 1.3188e+01  14 9.99220e-01  
 39.0 1.3231e+01  14 1.00000e+00  
 39.1 1.3263e+01  14 1.00000e+00  
 39.2 1.3295e+01  14 1.00000e+00  
 39.3 1.3328e+01  14 1.00000e+00  
 39.4 1.3357e+01  14 1.00000e+00  
 39.5 1.3390e+01  14 1.00000e+00  
 39.6 1.3422e+01  14 1.00000e+00  
 39.7 1.3454e+01  14 1.00000e+00  
 39.8 1.3494e+01  14 1.00000e+00  
 39.9 1.3516e+01  14 1.00000e+00  
 40.0 1.3548e+01  14 1.00000e+00  
 40.1 1.3580e+01  14 1.00000e+00  
 40.2 1.3609e+01  14 1.00000e+00  
 40.3 1.3642e+01  14 1.00000e+00  
 40.4 1.3674e+01  14 1.00000e+00  
 40.5 1.3707e+01  14 1.00000e+00  
 40.6 1.3735e+01  14 1.00000e+00  
 40.7 1.3768e+01  14 1.00000e+00  
 40.8 1.3794e+01  14 1.00000e+00  
 40.9 1.3827e+01  14 1.00000e+00  
 41.0 1.3848e+01  14 1.00000e+00  
 41.1 1.3884e+01  14 1.00000e+00  
 41.2 1.3767e+01  14 1.00000e+00  
 41.3 1.3782e+01  14 1.00000e+00  
 41.4 1.3675e+01  14 1.00000e+00  
 41.5 1.3718e+01  14 1.00000e+00  
 41.6 1.3870e+01  14 1.00000e+00  
 41.7 1.3904e+01  14 1.00000e+00  
 41.8 1.3940e+01  14 1.00000e+00  
 41.9 1.3968e+01  14 1.00000e+00  
 42.0 1.4000e+01  14 1.00000e+00  
 42.1 1.4032e+01  14 1.00000e+00  
 42.2 1.4064e+01  14 1.00000e+00  
