 15.1 1.3542e+00  13 4.53644e-02  
 15.2 1.3617e+00  13 4.59926e-02  
 15.3 1.3692e+00  13 4.66111e-02  
 15.4 1.3766e+00  13 4.72231e-02  
 15.5 1.3841e+00  13 4.78436e-02  
 15.6 1.3915e+00  13 4.84603e-02  
 15.7 1.3990e+00  13 4.90756e-02  
 15.8 1.4064e+00  13 4.96882e-02  
 15.9 1.4139e+00  13 5.02991e-02  
 16.0 1.4213e+00  13 5.09073e-02  
 16.1 1.4288e+00  13 5.15144e-02  
 16.2 1.4362e+00  13 5.21197e-02  
 16.3 1.4436e+00  13 5.27233e-02  
 16.4 1.4511e+00  13 5.33255e-02  
 16.5 1.4663e+00  13 5.45383e-02  
 16.6 1.4739e+00  13 5.51516e-02  
 16.7 1.4815e+00  13 5.57644e-02  
 16.8 1.4891e+00  13 5.63774e-02  
 16.9 1.4967e+00  13 5.69881e-02  
 17.0 1.5043e+00  13 5.76012e-02  
 17.1 1.5119e+00  13 5.82145e-02  
 17.2 1.5195e+00  13 5.88281e-02  
 17.3 1.5271e+00  13 5.94263e-02  
 17.4 1.5347e+00  13 6.00301e-02  
 17.5 1.5423e+00  13 6.06453e-02  
 17.6 1.5499e+00  13 6.12616e-02  
 17.7 1.5575e+00  13 6.18795e-02  
 17.8 1.5651e+00  13 6.24996e-02  
 17.9 1.5727e+00  13 6.31206e-02  
 18.0 1.5803e+00  13 6.37326e-02  
 18.1 1.5879e+00  13 6.43374e-02  
 18.2 1.5954e+00  13 6.49631e-02  
 18.3 1.6030e+00  13 6.55922e-02  
 18.4 1.6106e+00  13 6.62238e-02  
 18.5 1.6182e+00  13 6.68590e-02  
 18.6 1.6257e+00  13 6.74977e-02  
 18.7 1.6333e+00  13 6.81027e-02  
 18.8 1.6409e+00  13 6.87458e-02  
 18.9 1.6484e+00  13 6.93926e-02  
 19.0 1.6560e+00  13 7.00439e-02  
 19.1 1.6635e+00  13 7.07002e-02  
 19.2 1.6711e+00  13 7.13603e-02  
 19.3 1.6787e+00  13 7.19837e-02  
 19.4 1.6862e+00  13 7.26503e-02  
 19.5 1.6947e+00  13 7.34404e-02  
 19.6 1.7062e+00  13 7.45811e-02  
 19.7 1.7177e+00  13 7.57386e-02  
 19.8 1.7292e+00  13 7.68681e-02  
 19.9 1.7408e+00  13 7.80575e-02  
 20.0 1.7526e+00  13 7.92646e-02  
 20.1 1.7643e+00  13 8.04910e-02  
 20.2 1.7762e+00  13 8.17377e-02  
 20.3 1.7881e+00  13 8.29529e-02  
 20.4 1.8001e+00  13 8.42337e-02  
 20.5 1.8122e+00  13 8.55345e-02  
 20.6 1.8243e+00  13 8.68599e-02  
 20.7 1.8366e+00  13 8.82093e-02  
 20.8 1.8489e+00  13 8.95151e-02  
 20.9 1.8588e+00  13 9.06312e-02  
 21.0 1.8712e+00  13 9.20282e-02  
 21.1 1.8834e+00  13 9.34188e-02  
 21.2 1.8958e+00  13 9.48572e-02  
 21.3 1.9084e+00  13 9.62574e-02  
 21.4 1.9210e+00  13 9.77449e-02  
 21.5 1.1909e+01  14 1.00000e+00  
 21.6 1.1888e+01  14 1.00000e+00  
 21.7 1.1875e+01  14 1.00000e+00  
 21.8 1.1852e+01  14 1.00000e+00  
 21.9 1.1829e+01  14 1.00000e+00  
 22.0 1.1805e+01  14 1.00000e+00  
 22.1 1.1781e+01  14 1.00000e+00  
 22.2 1.1761e+01  14 1.00000e+00  
 22.3 1.1725e+01  14 1.00000e+00  
 22.4 1.1696e+01  14 1.00000e+00  
 22.5 1.1669e+01  14 1.00000e+00  
 22.6 1.1643e+01  14 1.00000e+00  
 22.7 1.1611e+01  14 1.00000e+00  
 22.8 1.1579e+01  14 1.00000e+00  
 22.9 1.1545e+01  14 1.00000e+00  
 23.0 1.1520e+01  14 1.00000e+00  
 23.1 1.1485e+01  14 1.00000e+00  
 23.2 1.1449e+01  14 1.00000e+00  
 23.3 1.1411e+01  14 1.00000e+00  
 23.4 1.1383e+01  14 1.00000e+00  
 23.5 1.1345e+01  14 1.00000e+00  
