 15.1 1.4550e+00  13 4.49056e-02  
 15.2 1.4626e+00  13 4.52652e-02  
 15.3 1.4702e+00  13 4.56206e-02  
 15.4 1.4777e+00  13 4.59716e-02  
 15.5 1.4853e+00  13 4.63183e-02  
 15.6 1.4929e+00  13 4.66101e-02  
 15.7 1.5004e+00  13 4.69484e-02  
 15.8 1.5080e+00  13 4.72830e-02  
 15.9 1.5155e+00  13 4.76141e-02  
 16.0 1.5231e+00  13 4.79416e-02  
 16.1 1.5307e+00  13 4.82655e-02  
 16.2 1.5382e+00  13 4.85861e-02  
 16.3 1.5458e+00  13 4.89032e-02  
 16.4 1.5533e+00  13 4.92167e-02  
 16.5 1.5609e+00  13 4.95267e-02  
 16.6 1.5684e+00  13 4.98333e-02  
 16.7 1.5760e+00  13 5.01363e-02  
 16.8 1.5835e+00  13 5.04362e-02  
 16.9 1.5911e+00  13 5.07329e-02  
 17.0 1.5986e+00  13 5.10262e-02  
 17.1 1.6062e+00  13 5.13165e-02  
 17.2 1.6137e+00  13 5.16036e-02  
 17.3 1.6212e+00  13 5.18878e-02  
 17.4 1.6288e+00  13 5.21689e-02  
 17.5 1.6363e+00  13 5.24470e-02  
 17.6 1.6439e+00  13 5.27223e-02  
 17.7 1.6514e+00  13 5.29947e-02  
 17.8 1.6589e+00  13 5.31920e-02  
 17.9 1.6665e+00  13 5.34579e-02  
 18.0 1.6740e+00  13 5.37211e-02  
 18.1 1.6815e+00  13 5.39815e-02  
 18.2 1.6891e+00  13 5.42394e-02  
 18.3 1.6966e+00  13 5.44946e-02  
 18.4 1.7041e+00  13 5.47474e-02  
 18.5 1.7116e+00  13 5.49977e-02  
 18.6 1.7222e+00  13 5.54806e-02  
 18.7 1.7345e+00  13 5.60852e-02  
 18.8 1.7469e+00  13 5.66916e-02  
 18.9 1.7594e+00  13 5.72998e-02  
 19.0 1.7719e+00  13 5.79101e-02  
 19.1 1.7846e+00  13 5.85223e-02  
 19.2 1.7973e+00  13 5.91365e-02  
 19.3 1.8102e+00  13 5.97529e-02  
 19.4 1.8231e+00  13 6.03713e-02  
 19.5 1.8362e+00  13 6.09920e-02  
 19.6 1.8493e+00  13 6.16148e-02  
 19.7 1.8625e+00  13 6.22398e-02  
 19.8 1.8759e+00  13 6.28673e-02  
 19.9 1.8893e+00  13 6.34971e-02  
 20.0 1.9028e+00  13 6.41294e-02  
 20.1 1.9165e+00  13 6.47641e-02  
 20.2 1.7546e+01  14 1.00000e+00  
 20.3 1.7628e+01  14 1.00000e+00  
 20.4 1.7710e+01  14 1.00000e+00  
 20.5 1.7792e+01  14 1.00000e+00  
 20.6 1.7874e+01  14 1.00000e+00  
 20.7 1.7956e+01  14 1.00000e+00  
 20.8 1.8038e+01  14 1.00000e+00  
 20.9 1.8119e+01  14 1.00000e+00  
 21.0 1.8201e+01  14 1.00000e+00  
 21.1 1.8283e+01  14 1.00000e+00  
 21.2 1.8365e+01  14 1.00000e+00  
 21.3 1.8446e+01  14 1.00000e+00  
 21.4 1.8527e+01  14 1.00000e+00  
 21.5 1.8607e+01  14 1.00000e+00  
 21.6 1.8656e+01  14 1.00000e+00  
 21.7 1.8736e+01  14 1.00000e+00  
 21.8 1.8815e+01  14 1.00000e+00  
 21.9 1.8896e+01  14 1.00000e+00  
 22.0 1.8977e+01  14 1.00000e+00  
 22.1 1.9056e+01  14 1.00000e+00  
 22.2 1.9135e+01  14 1.00000e+00  
 22.3 1.9214e+01  14 1.00000e+00  
 22.4 1.9293e+01  14 1.00000e+00  
 22.5 1.9339e+01  14 1.00000e+00  
 22.6 1.9418e+01  14 1.00000e+00  
 22.7 1.9495e+01  14 1.00000e+00  
 22.8 1.9576e+01  14 1.00000e+00  
 22.9 1.9654e+01  14 1.00000e+00  
 23.0 1.9732e+01  14 1.00000e+00  
 23.1 5.5443e+00  14 2.45606e-01  
 23.2 5.6585e+00  14 2.50624e-01  
 23.3 5.7735e+00  14 2.56110e-01  
 23.4 5.8905e+00  14 2.61199e-01  
 23.5 6.0089e+00  14 2.66328e-01  
 23.6 6.1288e+00  14 2.71495e-01  
 23.7 6.2504e+00  14 2.76671e-01  
 23.8 6.3733e+00  14 2.81919e-01  
 23.9 6.4978e+00  14 2.87206e-01  
 24.0 6.6237e+00  14 2.92530e-01  
 24.1 6.7512e+00  14 2.97893e-01  
 24.2 6.8769e+00  14 3.03681e-01  
 24.3 7.0071e+00  14 3.09112e-01  
 24.4 7.1388e+00  14 3.14581e-01  
 24.5 7.2719e+00  14 3.20096e-01  
 24.6 7.4069e+00  14 3.25615e-01  
 24.7 7.5432e+00  14 3.31198e-01  
 24.8 7.6810e+00  14 3.36817e-01  
 24.9 7.8203e+00  14 3.42473e-01  
 25.0 7.9611e+00  14 3.48166e-01  
 25.1 8.0971e+00  14 3.54251e-01  
 25.2 8.2405e+00  14 3.60015e-01  
 25.3 8.3855e+00  14 3.65815e-01  
 25.4 8.5320e+00  14 3.71650e-01  
 25.5 8.6807e+00  14 3.77494e-01  
 25.6 8.8303e+00  14 3.83399e-01  
 25.7 8.9815e+00  14 3.89339e-01  
 25.8 9.1341e+00  14 3.95319e-01  
 25.9 9.2790e+00  14 4.01657e-01  
 26.0 9.4343e+00  14 4.07702e-01  
 26.1 9.5911e+00  14 4.13782e-01  
 26.2 9.7495e+00  14 4.19896e-01  
 26.3 9.9094e+00  14 4.26045e-01  
 26.4 1.0072e+01  14 4.32203e-01  
 26.5 1.0235e+01  14 4.38423e-01  
 26.6 1.0399e+01  14 4.44678e-01  
 26.7 1.0565e+01  14 4.50967e-01  
 26.8 1.0720e+01  14 4.57579e-01  
 26.9 1.0889e+01  14 4.63932e-01  
 27.0 1.1059e+01  14 4.70318e-01  
 27.1 1.1231e+01  14 4.76739e-01  
 27.2 1.1404e+01  14 4.83193e-01  
 27.3 1.1580e+01  14 4.89661e-01  
 27.4 1.1756e+01  14 4.96185e-01  
 27.5 1.1934e+01  14 5.02743e-01  
 27.6 1.2114e+01  14 5.09335e-01  
 27.7 1.2277e+01  14 5.16214e-01  
 27.8 1.2459e+01  14 5.22867e-01  
 27.9 1.2643e+01  14 5.29553e-01  
 28.0 1.2828e+01  14 5.36274e-01  
 28.1 1.3015e+01  14 5.43031e-01  
 28.2 1.3205e+01  14 5.49798e-01  
 28.3 1.3394e+01  14 5.56619e-01  
 28.4 1.3586e+01  14 5.63473e-01  
 28.5 1.3778e+01  14 5.70360e-01  
 28.6 1.3951e+01  14 5.77502e-01  
 28.7 1.4146e+01  14 5.84450e-01  
 28.8 1.4343e+01  14 5.91431e-01  
 28.9 1.4542e+01  14 5.98445e-01  
 29.0 1.4742e+01  14 6.05496e-01  
 29.1 1.4945e+01  14 6.12558e-01  
 29.2 1.5148e+01  14 6.19671e-01  
