 15.1 1.4502e+00  13 4.45230e-02  
 15.2 1.4578e+00  13 4.48907e-02  
 15.3 1.4654e+00  13 4.52541e-02  
 15.4 1.4730e+00  13 4.56132e-02  
 15.5 1.4806e+00  13 4.59680e-02  
 15.6 1.4882e+00  13 4.63186e-02  
 15.7 1.4958e+00  13 4.66652e-02  
 15.8 1.5033e+00  13 4.70076e-02  
 15.9 1.5109e+00  13 4.73461e-02  
 16.0 1.5185e+00  13 4.76808e-02  
 16.1 1.5261e+00  13 4.79576e-02  
 16.2 1.5337e+00  13 4.82838e-02  
 16.3 1.5413e+00  13 4.86062e-02  
 16.4 1.5489e+00  13 4.89250e-02  
 16.5 1.5564e+00  13 4.92404e-02  
 16.6 1.5640e+00  13 4.95523e-02  
 16.7 1.5716e+00  13 4.98607e-02  
 16.8 1.5792e+00  13 5.01658e-02  
 16.9 1.5867e+00  13 5.04677e-02  
 17.0 1.5943e+00  13 5.07664e-02  
 17.1 1.6019e+00  13 5.10617e-02  
 17.2 1.6095e+00  13 5.13541e-02  
 17.3 1.6170e+00  13 5.16433e-02  
 17.4 1.6246e+00  13 5.19295e-02  
 17.5 1.6322e+00  13 5.22126e-02  
 17.6 1.6397e+00  13 5.24930e-02  
 17.7 1.6473e+00  13 5.27701e-02  
 17.8 1.6549e+00  13 5.30446e-02  
 17.9 1.6624e+00  13 5.33163e-02  
 18.0 1.6700e+00  13 5.35853e-02  
 18.1 1.6776e+00  13 5.38516e-02  
 18.2 1.6851e+00  13 5.40405e-02  
 18.3 1.6927e+00  13 5.43005e-02  
 18.4 1.7002e+00  13 5.45579e-02  
 18.5 1.7078e+00  13 5.48129e-02  
 18.6 1.7153e+00  13 5.50653e-02  
 18.7 1.7230e+00  13 5.53266e-02  
 18.8 1.7353e+00  13 5.59288e-02  
 18.9 1.7476e+00  13 5.65328e-02  
 19.0 1.7600e+00  13 5.71387e-02  
 19.1 1.7726e+00  13 5.77465e-02  
 19.2 1.7852e+00  13 5.83563e-02  
 19.3 1.7979e+00  13 5.89679e-02  
 19.4 1.8107e+00  13 5.95818e-02  
 19.5 1.8236e+00  13 6.01978e-02  
 19.6 1.8366e+00  13 6.08160e-02  
 19.7 1.8497e+00  13 6.14364e-02  
 19.8 1.8629e+00  13 6.20591e-02  
 19.9 1.8761e+00  13 6.26841e-02  
 20.0 1.8895e+00  13 6.33117e-02  
 20.1 1.9030e+00  13 6.39445e-02  
 20.2 1.9166e+00  13 6.45804e-02  
 20.3 1.7594e+01  14 1.00000e+00  
 20.4 1.7646e+01  14 1.00000e+00  
 20.5 1.7726e+01  14 1.00000e+00  
 20.6 1.7805e+01  14 1.00000e+00  
 20.7 1.7886e+01  14 1.00000e+00  
 20.8 1.7966e+01  14 1.00000e+00  
 20.9 1.8045e+01  14 1.00000e+00  
 21.0 1.8124e+01  14 1.00000e+00  
 21.1 1.8203e+01  14 1.00000e+00  
 21.2 1.8253e+01  14 1.00000e+00  
 21.3 1.8331e+01  14 1.00000e+00  
 21.4 1.8409e+01  14 1.00000e+00  
 21.5 1.8489e+01  14 1.00000e+00  
 21.6 1.8567e+01  14 1.00000e+00  
 21.7 1.8645e+01  14 1.00000e+00  
 21.8 1.8723e+01  14 1.00000e+00  
 21.9 1.8801e+01  14 1.00000e+00  
 22.0 1.8846e+01  14 1.00000e+00  
