 15.1 1.4561e+00  13 4.49875e-02  
 15.2 1.4636e+00  13 4.53455e-02  
 15.3 1.4712e+00  13 4.56503e-02  
 15.4 1.4788e+00  13 4.59990e-02  
 15.5 1.4863e+00  13 4.63435e-02  
 15.6 1.4939e+00  13 4.66840e-02  
 15.7 1.5014e+00  13 4.70207e-02  
 15.8 1.5090e+00  13 4.73534e-02  
 15.9 1.5165e+00  13 4.76822e-02  
 16.0 1.5241e+00  13 4.80073e-02  
 16.1 1.5316e+00  13 4.83288e-02  
 16.2 1.5392e+00  13 4.86465e-02  
 16.3 1.5467e+00  13 4.89610e-02  
 16.4 1.5543e+00  13 4.92721e-02  
 16.5 1.5618e+00  13 4.95801e-02  
 16.6 1.5694e+00  13 4.98852e-02  
 16.7 1.5769e+00  13 5.01871e-02  
 16.8 1.5844e+00  13 5.04857e-02  
 16.9 1.5920e+00  13 5.07810e-02  
 17.0 1.5995e+00  13 5.10732e-02  
 17.1 1.6070e+00  13 5.13623e-02  
 17.2 1.6146e+00  13 5.16482e-02  
 17.3 1.6221e+00  13 5.19311e-02  
 17.4 1.6296e+00  13 5.21423e-02  
 17.5 1.6372e+00  13 5.24184e-02  
 17.6 1.6447e+00  13 5.26915e-02  
 17.7 1.6522e+00  13 5.29617e-02  
 17.8 1.6598e+00  13 5.32293e-02  
 17.9 1.6673e+00  13 5.34941e-02  
 18.0 1.6748e+00  13 5.37562e-02  
 18.1 1.6823e+00  13 5.40156e-02  
 18.2 1.6898e+00  13 5.42724e-02  
 18.3 1.6974e+00  13 5.45267e-02  
 18.4 1.7049e+00  13 5.47785e-02  
 18.5 1.7131e+00  13 5.50841e-02  
 18.6 1.7254e+00  13 5.56881e-02  
 18.7 1.7377e+00  13 5.62938e-02  
 18.8 1.7501e+00  13 5.69015e-02  
 18.9 1.7626e+00  13 5.75110e-02  
 19.0 1.7752e+00  13 5.81225e-02  
 19.1 1.7879e+00  13 5.87360e-02  
 19.2 1.8007e+00  13 5.93515e-02  
 19.3 1.8135e+00  13 5.99690e-02  
 19.4 1.8265e+00  13 6.05888e-02  
 19.5 1.8396e+00  13 6.12108e-02  
 19.6 1.8528e+00  13 6.18351e-02  
 19.7 1.8661e+00  13 6.24616e-02  
 19.8 1.8794e+00  13 6.30905e-02  
 19.9 1.8929e+00  13 6.37218e-02  
 20.0 1.9065e+00  13 6.43555e-02  
 20.1 1.9202e+00  13 6.49918e-02  
 20.2 1.7554e+01  14 1.00000e+00  
 20.3 1.7636e+01  14 1.00000e+00  
 20.4 1.7718e+01  14 1.00000e+00  
 20.5 1.7800e+01  14 1.00000e+00  
 20.6 1.7882e+01  14 1.00000e+00  
 20.7 1.7964e+01  14 1.00000e+00  
 20.8 1.8046e+01  14 1.00000e+00  
 20.9 1.8128e+01  14 1.00000e+00  
 21.0 1.8210e+01  14 1.00000e+00  
 21.1 1.8292e+01  14 1.00000e+00  
 21.2 1.8374e+01  14 1.00000e+00  
 21.3 1.8456e+01  14 1.00000e+00  
 21.4 1.8538e+01  14 1.00000e+00  
 21.5 1.8619e+01  14 1.00000e+00  
 21.6 1.8701e+01  14 1.00000e+00  
 21.7 1.8783e+01  14 1.00000e+00  
 21.8 1.8864e+01  14 1.00000e+00  
 21.9 1.8945e+01  14 1.00000e+00  
 22.0 1.9026e+01  14 1.00000e+00  
 22.1 1.9106e+01  14 1.00000e+00  
 22.2 1.9153e+01  14 1.00000e+00  
 22.3 1.9233e+01  14 1.00000e+00  
 22.4 1.9313e+01  14 1.00000e+00  
 22.5 1.9393e+01  14 1.00000e+00  
 22.6 1.9474e+01  14 1.00000e+00  
 22.7 1.9554e+01  14 1.00000e+00  
 22.8 1.9633e+01  14 1.00000e+00  
 22.9 1.9712e+01  14 1.00000e+00  
 23.0 1.9756e+01  14 1.00000e+00  
 23.1 5.5840e+00  14 2.47380e-01  
 23.2 5.6990e+00  14 2.52406e-01  
 23.3 5.8155e+00  14 2.57472e-01  
 23.4 5.9335e+00  14 2.62577e-01  
 23.5 6.0531e+00  14 2.67696e-01  
 23.6 6.1741e+00  14 2.72884e-01  
 23.7 6.2967e+00  14 2.78110e-01  
 23.8 6.4208e+00  14 2.83375e-01  
 23.9 6.5439e+00  14 2.89085e-01  
 24.0 6.6708e+00  14 2.94420e-01  
 24.1 6.7992e+00  14 2.99796e-01  
 24.2 6.9291e+00  14 3.05210e-01  
 24.3 7.0605e+00  14 3.10667e-01  
