 15.1 1.4214e+00  13 4.58539e-02  
 15.2 1.4290e+00  13 4.57546e-02  
 15.3 1.4367e+00  13 4.56887e-02  
 15.4 1.4443e+00  13 4.59323e-02  
 15.5 1.4520e+00  13 4.61526e-02  
 15.6 1.4596e+00  13 4.65022e-02  
 15.7 1.4673e+00  13 4.68644e-02  
 15.8 1.4749e+00  13 4.72855e-02  
 15.9 1.4826e+00  13 4.76992e-02  
 16.0 1.4902e+00  13 4.81115e-02  
 16.1 1.4978e+00  13 4.85207e-02  
 16.2 1.5055e+00  13 4.89259e-02  
 16.3 1.5131e+00  13 4.93286e-02  
 16.4 1.5208e+00  13 4.97282e-02  
 16.5 1.5284e+00  13 5.01246e-02  
 16.6 1.5361e+00  13 5.05185e-02  
 16.7 1.5437e+00  13 5.09094e-02  
 16.8 1.5514e+00  13 5.12977e-02  
 16.9 1.5590e+00  13 5.17297e-02  
 17.0 1.5667e+00  13 5.21136e-02  
 17.1 1.5743e+00  13 5.24949e-02  
 17.2 1.5819e+00  13 5.28741e-02  
 17.3 1.5896e+00  13 5.32508e-02  
 17.4 1.5972e+00  13 5.36249e-02  
 17.5 1.6049e+00  13 5.39970e-02  
 17.6 1.6125e+00  13 5.43671e-02  
 17.7 1.6201e+00  13 5.47356e-02  
 17.8 1.6278e+00  13 5.50855e-02  
 17.9 1.6354e+00  13 5.54485e-02  
 18.0 1.6431e+00  13 5.58094e-02  
 18.1 1.6507e+00  13 5.61689e-02  
 18.2 1.6583e+00  13 5.65263e-02  
 18.3 1.6660e+00  13 5.68819e-02  
 18.4 1.6736e+00  13 5.72947e-02  
 18.5 1.6812e+00  13 5.76481e-02  
 18.6 1.6888e+00  13 5.80002e-02  
 18.7 1.6965e+00  13 5.83508e-02  
 18.8 1.7041e+00  13 5.87001e-02  
 18.9 1.7117e+00  13 5.90482e-02  
 19.0 1.7193e+00  13 5.93748e-02  
 19.1 1.7270e+00  13 5.97184e-02  
 19.2 1.7390e+00  13 6.04410e-02  
 19.3 1.7512e+00  13 6.11758e-02  
 19.4 1.7634e+00  13 6.19854e-02  
 19.5 1.7758e+00  13 6.27328e-02  
 19.6 1.7883e+00  13 6.34859e-02  
 19.7 1.8008e+00  13 6.42441e-02  
 19.8 1.8134e+00  13 6.50081e-02  
 19.9 1.8261e+00  13 6.57775e-02  
 20.0 1.8389e+00  13 6.65276e-02  
 20.1 1.8519e+00  13 6.73065e-02  
 20.2 1.8648e+00  13 6.80918e-02  
 20.3 1.8779e+00  13 6.89668e-02  
 20.4 1.8911e+00  13 6.97670e-02  
 20.5 1.9044e+00  13 7.05736e-02  
 20.6 1.9178e+00  13 7.13867e-02  
 20.7 1.5993e+01  14 1.00000e+00  
 20.8 1.6044e+01  14 1.00000e+00  
 20.9 1.6089e+01  14 1.00000e+00  
 21.0 1.6133e+01  14 1.00000e+00  
 21.1 1.6157e+01  14 1.00000e+00  
 21.2 1.6199e+01  14 1.00000e+00  
 21.3 1.6242e+01  14 1.00000e+00  
 21.4 1.6283e+01  14 1.00000e+00  
 21.5 1.6324e+01  14 1.00000e+00  
 21.6 1.6371e+01  14 1.00000e+00  
 21.7 1.6411e+01  14 1.00000e+00  
 21.8 1.6429e+01  14 1.00000e+00  
 21.9 1.6468e+01  14 1.00000e+00  
 22.0 1.6506e+01  14 1.00000e+00  
 22.1 1.6543e+01  14 1.00000e+00  
 22.2 1.6579e+01  14 1.00000e+00  
 22.3 1.6616e+01  14 1.00000e+00  
 22.4 1.6658e+01  14 1.00000e+00  
 22.5 1.6670e+01  14 1.00000e+00  
 22.6 1.6704e+01  14 1.00000e+00  
 22.7 1.6738e+01  14 1.00000e+00  
 22.8 1.6770e+01  14 1.00000e+00  
 22.9 1.6802e+01  14 1.00000e+00  
 23.0 1.6835e+01  14 1.00000e+00  
 23.1 1.6848e+01  14 1.00000e+00  
 23.2 1.6878e+01  14 1.00000e+00  
 23.3 1.6907e+01  14 1.00000e+00  
 23.4 1.6936e+01  14 1.00000e+00  
 23.5 1.6964e+01  14 1.00000e+00  
 23.6 1.6991e+01  14 1.00000e+00  
 23.7 1.6993e+01  14 1.00000e+00  
 23.8 5.5678e+00  14 2.89466e-01  
 23.9 5.6566e+00  14 2.94518e-01  
 24.0 5.7460e+00  14 2.99602e-01  
 24.1 5.8359e+00  14 3.04720e-01  
 24.2 5.9254e+00  14 3.10312e-01  
 24.3 6.0161e+00  14 3.15496e-01  
 24.4 6.1078e+00  14 3.20564e-01  
 24.5 6.1996e+00  14 3.25799e-01  
 24.6 6.2918e+00  14 3.31068e-01  
 24.7 6.3824e+00  14 3.36802e-01  
 24.8 6.4753e+00  14 3.42134e-01  
 24.9 6.5685e+00  14 3.47498e-01  
 25.0 6.6622e+00  14 3.52896e-01  
 25.1 6.7573e+00  14 3.58168e-01  
 25.2 6.8485e+00  14 3.64044e-01  
 25.3 6.9431e+00  14 3.69516e-01  
 25.4 7.0380e+00  14 3.75021e-01  
 25.5 7.1332e+00  14 3.80557e-01  
 25.6 7.2244e+00  14 3.86547e-01  
 25.7 7.3214e+00  14 3.91994e-01  
 25.8 7.4173e+00  14 3.97605e-01  
 25.9 7.5083e+00  14 4.03667e-01  
 26.0 7.6043e+00  14 4.09333e-01  
 26.1 7.7004e+00  14 4.15033e-01  
 26.2 7.7966e+00  14 4.20762e-01  
 26.3 7.8871e+00  14 4.26914e-01  
 26.4 7.9854e+00  14 4.32558e-01  
