 15.1 1.4455e+00  13 4.35645e-02  
 15.2 1.4529e+00  13 4.39106e-02  
 15.3 1.4604e+00  13 4.42524e-02  
 15.4 1.4678e+00  13 4.45900e-02  
 15.5 1.4752e+00  13 4.49235e-02  
 15.6 1.4826e+00  13 4.52528e-02  
 15.7 1.4900e+00  13 4.55782e-02  
 15.8 1.4974e+00  13 4.58997e-02  
 15.9 1.5048e+00  13 4.62174e-02  
 16.0 1.5123e+00  13 4.65313e-02  
 16.1 1.5197e+00  13 4.68415e-02  
 16.2 1.5271e+00  13 4.70991e-02  
 16.3 1.5345e+00  13 4.74014e-02  
 16.4 1.5419e+00  13 4.77002e-02  
 16.5 1.5493e+00  13 4.79955e-02  
 16.6 1.5567e+00  13 4.82874e-02  
 16.7 1.5641e+00  13 4.85761e-02  
 16.8 1.5715e+00  13 4.88614e-02  
 16.9 1.5789e+00  13 4.91435e-02  
 17.0 1.5863e+00  13 4.94224e-02  
 17.1 1.5937e+00  13 4.96983e-02  
 17.2 1.6011e+00  13 4.99717e-02  
 17.3 1.6097e+00  13 5.03361e-02  
 17.4 1.6213e+00  13 5.09415e-02  
 17.5 1.6331e+00  13 5.15482e-02  
 17.6 1.6450e+00  13 5.21563e-02  
 17.7 1.6570e+00  13 5.27658e-02  
 17.8 1.6690e+00  13 5.33767e-02  
 17.9 1.6812e+00  13 5.39892e-02  
 18.0 1.6934e+00  13 5.46032e-02  
 18.1 1.7057e+00  13 5.52189e-02  
 18.2 1.7182e+00  13 5.58363e-02  
 18.3 1.7307e+00  13 5.64554e-02  
 18.4 1.7433e+00  13 5.70763e-02  
 18.5 1.7560e+00  13 5.76991e-02  
 18.6 1.7689e+00  13 5.83238e-02  
 18.7 1.7818e+00  13 5.89505e-02  
 18.8 1.7948e+00  13 5.95792e-02  
 18.9 1.8079e+00  13 6.02100e-02  
 19.0 1.8211e+00  13 6.08428e-02  
 19.1 1.8344e+00  13 6.14779e-02  
 19.2 1.8479e+00  13 6.21151e-02  
 19.3 1.8614e+00  13 6.27547e-02  
 19.4 1.8750e+00  13 6.33965e-02  
 19.5 1.8887e+00  13 6.40408e-02  
 19.6 1.9026e+00  13 6.46874e-02  
 19.7 1.9165e+00  13 6.53365e-02  
 19.8 1.7404e+01  14 1.00000e+00  
 19.9 1.7489e+01  14 1.00000e+00  
 20.0 1.7574e+01  14 1.00000e+00  
 20.1 1.7658e+01  14 1.00000e+00  
 20.2 1.7743e+01  14 1.00000e+00  
 20.3 1.7827e+01  14 1.00000e+00  
 20.4 1.7912e+01  14 1.00000e+00  
 20.5 1.7996e+01  14 1.00000e+00  
 20.6 1.8081e+01  14 1.00000e+00  
 20.7 1.8165e+01  14 1.00000e+00  
 20.8 1.8250e+01  14 1.00000e+00  
 20.9 1.8334e+01  14 1.00000e+00  
 21.0 1.8418e+01  14 1.00000e+00  
 21.1 1.8503e+01  14 1.00000e+00  
 21.2 1.8587e+01  14 1.00000e+00  
 21.3 1.8671e+01  14 1.00000e+00  
 21.4 1.8755e+01  14 1.00000e+00  
 21.5 1.8839e+01  14 1.00000e+00  
 21.6 1.8924e+01  14 1.00000e+00  
 21.7 1.9008e+01  14 1.00000e+00  
 21.8 1.9092e+01  14 1.00000e+00  
 21.9 1.9176e+01  14 1.00000e+00  
 22.0 1.9259e+01  14 1.00000e+00  
 22.1 1.9343e+01  14 1.00000e+00  
 22.2 1.9427e+01  14 1.00000e+00  
 22.3 1.9511e+01  14 1.00000e+00  
