 15.1 1.3196e+00  13 5.12087e-02  
 15.2 1.3267e+00  13 5.22419e-02  
 15.3 1.3395e+00  13 5.43619e-02  
 15.4 1.3467e+00  13 5.54165e-02  
 15.5 1.3539e+00  13 5.66093e-02  
 15.6 1.3611e+00  13 5.75248e-02  
 15.7 1.3683e+00  13 5.88360e-02  
 15.8 1.3755e+00  13 5.98021e-02  
 15.9 1.3827e+00  13 6.11124e-02  
 16.0 1.3898e+00  13 6.20467e-02  
 16.1 1.3970e+00  13 6.33849e-02  
 16.2 1.4040e+00  13 6.40373e-02  
 16.3 1.4111e+00  13 6.55822e-02  
 16.4 1.4183e+00  13 6.62372e-02  
 16.5 1.4256e+00  13 6.78504e-02  
 16.6 1.4324e+00  13 6.83481e-02  
 16.7 1.4395e+00  13 6.99497e-02  
 16.8 1.4466e+00  13 7.03097e-02  
 16.9 1.4538e+00  13 7.20283e-02  
 17.0 1.4610e+00  13 7.25119e-02  
 17.1 1.4757e+00  13 7.46991e-02  
 17.2 1.4830e+00  13 7.61839e-02  
 17.3 1.4902e+00  13 7.67493e-02  
 17.4 1.4969e+00  13 7.82101e-02  
 17.5 1.5041e+00  13 7.88846e-02  
 17.6 1.5113e+00  13 8.03030e-02  
 17.7 1.5185e+00  13 8.08769e-02  
 17.8 1.5256e+00  13 8.19694e-02  
 17.9 1.5328e+00  13 8.29695e-02  
 18.0 1.5399e+00  13 8.38978e-02  
 18.1 1.5471e+00  13 8.50370e-02  
 18.2 1.5543e+00  13 8.56610e-02  
 18.3 1.5614e+00  13 8.68736e-02  
 18.4 1.5686e+00  13 8.72024e-02  
 18.5 1.5757e+00  13 8.87497e-02  
 18.6 1.5828e+00  13 8.89262e-02  
 18.7 1.5899e+00  13 9.05984e-02  
 18.8 1.5970e+00  13 9.03465e-02  
 18.9 1.6041e+00  13 9.19827e-02  
 19.0 1.6112e+00  13 9.21634e-02  
 19.1 1.6183e+00  13 9.36425e-02  
 19.2 1.6253e+00  13 9.39445e-02  
 19.3 1.6324e+00  13 9.51764e-02  
 19.4 1.6394e+00  13 9.54930e-02  
 19.5 1.6464e+00  13 9.62410e-02  
 19.6 1.6534e+00  13 9.71865e-02  
 19.7 1.6849e+00  13 1.01157e-01  
 19.8 1.6784e+00  13 1.00301e-01  
