 15.1 1.3521e+00  13 4.55348e-02  
 15.2 1.3596e+00  13 4.61753e-02  
 15.3 1.3670e+00  13 4.68141e-02  
 15.4 1.3745e+00  13 4.74490e-02  
 15.5 1.3819e+00  13 4.80804e-02  
 15.6 1.3894e+00  13 4.86940e-02  
 15.7 1.3968e+00  13 4.93225e-02  
 15.8 1.4043e+00  13 4.99483e-02  
 15.9 1.4117e+00  13 5.05735e-02  
 16.0 1.4191e+00  13 5.11957e-02  
 16.1 1.4266e+00  13 5.18168e-02  
 16.2 1.4340e+00  13 5.24353e-02  
 16.3 1.4414e+00  13 5.30527e-02  
 16.4 1.4488e+00  13 5.36685e-02  
 16.5 1.4563e+00  13 5.42843e-02  
 16.6 1.4637e+00  13 5.48758e-02  
 16.7 1.4796e+00  13 5.61945e-02  
 16.8 1.4872e+00  13 5.68236e-02  
 16.9 1.4948e+00  13 5.74524e-02  
 17.0 1.5024e+00  13 5.80824e-02  
 17.1 1.5100e+00  13 5.87126e-02  
 17.2 1.5176e+00  13 5.93417e-02  
 17.3 1.5252e+00  13 5.99459e-02  
 17.4 1.5328e+00  13 6.05767e-02  
 17.5 1.5404e+00  13 6.12100e-02  
 17.6 1.5479e+00  13 6.18445e-02  
 17.7 1.5555e+00  13 6.24809e-02  
 17.8 1.5631e+00  13 6.31195e-02  
 17.9 1.5707e+00  13 6.37589e-02  
 18.0 1.5783e+00  13 6.43697e-02  
 18.1 1.5859e+00  13 6.50123e-02  
 18.2 1.5934e+00  13 6.56575e-02  
 18.3 1.6010e+00  13 6.63062e-02  
 18.4 1.6086e+00  13 6.69575e-02  
 18.5 1.6162e+00  13 6.76130e-02  
 18.6 1.6237e+00  13 6.82573e-02  
 18.7 1.6313e+00  13 6.88956e-02  
 18.8 1.6388e+00  13 6.95603e-02  
 18.9 1.6464e+00  13 7.02287e-02  
 19.0 1.6540e+00  13 7.09013e-02  
 19.1 1.6615e+00  13 7.15793e-02  
 19.2 1.6691e+00  13 7.22201e-02  
 19.3 1.6766e+00  13 7.29046e-02  
 19.4 1.6842e+00  13 7.35935e-02  
 19.5 1.6918e+00  13 7.43028e-02  
 19.6 1.7032e+00  13 7.54714e-02  
 19.7 1.7146e+00  13 7.66508e-02  
 19.8 1.7262e+00  13 7.78139e-02  
 19.9 1.7377e+00  13 7.90321e-02  
 20.0 1.7494e+00  13 8.02709e-02  
 20.1 1.7611e+00  13 8.15299e-02  
 20.2 1.7729e+00  13 8.28100e-02  
 20.3 1.7848e+00  13 8.40524e-02  
 20.4 1.7968e+00  13 8.53680e-02  
 20.5 1.8088e+00  13 8.67059e-02  
 20.6 1.8209e+00  13 8.80674e-02  
 20.7 1.8331e+00  13 8.94165e-02  
 20.8 1.8429e+00  13 9.05137e-02  
 20.9 1.8552e+00  13 9.19271e-02  
 21.0 1.8673e+00  13 9.33420e-02  
 21.1 1.8795e+00  13 9.47860e-02  
 21.2 1.8920e+00  13 9.61995e-02  
 21.3 1.9045e+00  13 9.77025e-02  
 21.4 1.9170e+00  13 9.92306e-02  
 21.5 1.1696e+01  14 1.00000e+00  
 21.6 1.1674e+01  14 1.00000e+00  
 21.7 1.1659e+01  14 1.00000e+00  
 21.8 1.1635e+01  14 1.00000e+00  
 21.9 1.1610e+01  14 1.00000e+00  
 22.0 1.1583e+01  14 1.00000e+00  
 22.1 1.1565e+01  14 1.00000e+00  
 22.2 1.1537e+01  14 1.00000e+00  
 22.3 1.1509e+01  14 1.00000e+00  
 22.4 1.1479e+01  14 1.00000e+00  
 22.5 1.1448e+01  14 1.00000e+00  
 22.6 1.1426e+01  14 1.00000e+00  
 22.7 1.1381e+01  14 1.00000e+00  
 22.8 1.1347e+01  14 1.00000e+00  
 22.9 1.1312e+01  14 1.00000e+00  
 23.0 1.1287e+01  14 1.00000e+00  
 23.1 1.1251e+01  14 1.00000e+00  
 23.2 1.1214e+01  14 1.00000e+00  
 23.3 1.1176e+01  14 1.00000e+00  
 23.4 1.1137e+01  14 1.00000e+00  
 23.5 1.1109e+01  14 1.00000e+00  
 23.6 1.1069e+01  14 1.00000e+00  
 23.7 1.1028e+01  14 1.00000e+00  
 23.8 1.0987e+01  14 1.00000e+00  
 23.9 1.0957e+01  14 1.00000e+00  
 24.0 1.0915e+01  14 1.00000e+00  
 24.1 1.0873e+01  14 1.00000e+00  
 24.2 1.0830e+01  14 1.00000e+00  
