 15.1 1.4373e+00  13 4.40930e-02  
 15.2 1.4449e+00  13 4.44964e-02  
 15.3 1.4525e+00  13 4.48957e-02  
 15.4 1.4601e+00  13 4.52914e-02  
 15.5 1.4678e+00  13 4.56831e-02  
 15.6 1.4754e+00  13 4.60710e-02  
 15.7 1.4830e+00  13 4.64991e-02  
 15.8 1.4907e+00  13 4.68808e-02  
 15.9 1.4983e+00  13 4.72592e-02  
 16.0 1.5059e+00  13 4.76344e-02  
 16.1 1.5135e+00  13 4.80060e-02  
 16.2 1.5212e+00  13 4.83746e-02  
 16.3 1.5288e+00  13 4.87369e-02  
 16.4 1.5364e+00  13 4.90935e-02  
 16.5 1.5440e+00  13 4.94522e-02  
 16.6 1.5517e+00  13 4.98075e-02  
 16.7 1.5593e+00  13 5.01602e-02  
 16.8 1.5669e+00  13 5.05105e-02  
 16.9 1.5745e+00  13 5.08580e-02  
 17.0 1.5821e+00  13 5.12029e-02  
 17.1 1.5898e+00  13 5.15448e-02  
 17.2 1.5974e+00  13 5.18842e-02  
 17.3 1.6050e+00  13 5.22210e-02  
 17.4 1.6126e+00  13 5.26134e-02  
 17.5 1.6202e+00  13 5.29469e-02  
 17.6 1.6278e+00  13 5.32664e-02  
 17.7 1.6355e+00  13 5.35943e-02  
 17.8 1.6431e+00  13 5.39201e-02  
 17.9 1.6507e+00  13 5.42436e-02  
 18.0 1.6583e+00  13 5.45645e-02  
 18.1 1.6659e+00  13 5.48839e-02  
 18.2 1.6735e+00  13 5.52012e-02  
 18.3 1.6811e+00  13 5.55162e-02  
 18.4 1.6887e+00  13 5.58295e-02  
 18.5 1.6963e+00  13 5.61415e-02  
 18.6 1.7039e+00  13 5.65196e-02  
 18.7 1.7115e+00  13 5.68216e-02  
 18.8 1.7191e+00  13 5.71222e-02  
 18.9 1.7267e+00  13 5.74269e-02  
 19.0 1.7370e+00  13 5.79512e-02  
 19.1 1.7493e+00  13 5.86294e-02  
 19.2 1.7617e+00  13 5.93120e-02  
 19.3 1.7741e+00  13 5.99992e-02  
 19.4 1.7866e+00  13 6.06904e-02  
 19.5 1.7993e+00  13 6.13857e-02  
 19.6 1.8120e+00  13 6.21617e-02  
 19.7 1.8248e+00  13 6.28660e-02  
 19.8 1.8377e+00  13 6.35587e-02  
 19.9 1.8507e+00  13 6.42705e-02  
 20.0 1.8638e+00  13 6.49888e-02  
 20.1 1.8770e+00  13 6.57109e-02  
 20.2 1.8903e+00  13 6.64381e-02  
 20.3 1.9037e+00  13 6.71700e-02  
 20.4 1.9171e+00  13 6.79067e-02  
 20.5 1.6747e+01  14 1.00000e+00  
 20.6 1.6805e+01  14 1.00000e+00  
 20.7 1.6862e+01  14 1.00000e+00  
 20.8 1.6924e+01  14 1.00000e+00  
 20.9 1.6981e+01  14 1.00000e+00  
 21.0 1.7038e+01  14 1.00000e+00  
 21.1 1.7094e+01  14 1.00000e+00  
 21.2 1.7150e+01  14 1.00000e+00  
 21.3 1.7206e+01  14 1.00000e+00  
 21.4 1.7261e+01  14 1.00000e+00  
 21.5 1.7293e+01  14 1.00000e+00  
 21.6 1.7347e+01  14 1.00000e+00  
 21.7 1.7405e+01  14 1.00000e+00  
 21.8 1.7458e+01  14 1.00000e+00  
 21.9 1.7511e+01  14 1.00000e+00  
 22.0 1.7564e+01  14 1.00000e+00  
 22.1 1.7615e+01  14 1.00000e+00  
 22.2 1.7667e+01  14 1.00000e+00  
 22.3 1.7694e+01  14 1.00000e+00  
 22.4 1.7744e+01  14 1.00000e+00  
 22.5 1.7794e+01  14 1.00000e+00  
 22.6 1.7849e+01  14 1.00000e+00  
 22.7 1.7898e+01  14 1.00000e+00  
 22.8 1.7947e+01  14 1.00000e+00  
 22.9 1.7995e+01  14 1.00000e+00  
 23.0 1.8042e+01  14 1.00000e+00  
 23.1 1.8089e+01  14 1.00000e+00  
 23.2 1.8110e+01  14 1.00000e+00  
 23.3 1.8156e+01  14 1.00000e+00  
 23.4 1.8202e+01  14 1.00000e+00  
 23.5 5.5463e+00  14 2.67754e-01  
 23.6 5.6460e+00  14 2.72792e-01  
 23.7 5.7465e+00  14 2.77867e-01  
 23.8 5.8480e+00  14 2.82979e-01  
 23.9 5.9504e+00  14 2.88124e-01  
 24.0 6.0524e+00  14 2.93692e-01  
 24.1 6.1563e+00  14 2.98899e-01  
 24.2 6.2611e+00  14 3.04140e-01  
 24.3 6.3672e+00  14 3.09321e-01  
 24.4 6.4737e+00  14 3.14624e-01  
 24.5 6.5811e+00  14 3.19959e-01  
 24.6 6.6894e+00  14 3.25326e-01  
 24.7 6.7984e+00  14 3.30730e-01  
 24.8 6.9051e+00  14 3.36547e-01  
 24.9 7.0155e+00  14 3.42010e-01  
 25.0 7.1266e+00  14 3.47506e-01  
 25.1 7.2393e+00  14 3.52970e-01  
 25.2 7.3524e+00  14 3.58492e-01  
 25.3 7.4660e+00  14 3.64075e-01  
 25.4 7.5804e+00  14 3.69688e-01  
 25.5 7.6955e+00  14 3.75334e-01  
 25.6 7.8058e+00  14 3.81383e-01  
 25.7 7.9220e+00  14 3.87092e-01  
 25.8 8.0389e+00  14 3.92829e-01  
 25.9 8.1577e+00  14 3.98526e-01  
