 15.1 1.4472e+00  13 4.42978e-02  
 15.2 1.4548e+00  13 4.46690e-02  
 15.3 1.4624e+00  13 4.50358e-02  
 15.4 1.4700e+00  13 4.53981e-02  
 15.5 1.4776e+00  13 4.57560e-02  
 15.6 1.4852e+00  13 4.61098e-02  
 15.7 1.4928e+00  13 4.64594e-02  
 15.8 1.5004e+00  13 4.68051e-02  
 15.9 1.5080e+00  13 4.71468e-02  
 16.0 1.5156e+00  13 4.74845e-02  
 16.1 1.5232e+00  13 4.78185e-02  
 16.2 1.5308e+00  13 4.81486e-02  
 16.3 1.5383e+00  13 4.84750e-02  
 16.4 1.5459e+00  13 4.87978e-02  
 16.5 1.5535e+00  13 4.91170e-02  
 16.6 1.5611e+00  13 4.93751e-02  
 16.7 1.5687e+00  13 4.96863e-02  
 16.8 1.5763e+00  13 4.99942e-02  
 16.9 1.5839e+00  13 5.02987e-02  
 17.0 1.5915e+00  13 5.06000e-02  
 17.1 1.5991e+00  13 5.08983e-02  
 17.2 1.6067e+00  13 5.11933e-02  
 17.3 1.6143e+00  13 5.14851e-02  
 17.4 1.6218e+00  13 5.17740e-02  
 17.5 1.6294e+00  13 5.20599e-02  
 17.6 1.6370e+00  13 5.23427e-02  
 17.7 1.6446e+00  13 5.26226e-02  
 17.8 1.6522e+00  13 5.28997e-02  
 17.9 1.6597e+00  13 5.31740e-02  
 18.0 1.6673e+00  13 5.34454e-02  
 18.1 1.6749e+00  13 5.37141e-02  
 18.2 1.6825e+00  13 5.39799e-02  
 18.3 1.6900e+00  13 5.42433e-02  
 18.4 1.6976e+00  13 5.45040e-02  
 18.5 1.7052e+00  13 5.47622e-02  
 18.6 1.7128e+00  13 5.50179e-02  
 18.7 1.7203e+00  13 5.52711e-02  
 18.8 1.7292e+00  13 5.56230e-02  
 18.9 1.7415e+00  13 5.62267e-02  
 19.0 1.7538e+00  13 5.68323e-02  
 19.1 1.7663e+00  13 5.74399e-02  
 19.2 1.7788e+00  13 5.80494e-02  
 19.3 1.7915e+00  13 5.86638e-02  
 19.4 1.8042e+00  13 5.92830e-02  
 19.5 1.8170e+00  13 5.99049e-02  
 19.6 1.8299e+00  13 6.05303e-02  
 19.7 1.8430e+00  13 6.11572e-02  
 19.8 1.8561e+00  13 6.17834e-02  
 19.9 1.8693e+00  13 6.24166e-02  
 20.0 1.8826e+00  13 6.30525e-02  
 20.1 1.8960e+00  13 6.37906e-02  
 20.2 1.9095e+00  13 6.44344e-02  
 20.3 1.9231e+00  13 6.50816e-02  
 20.4 1.7579e+01  14 1.00000e+00  
 20.5 1.7658e+01  14 1.00000e+00  
 20.6 1.7736e+01  14 1.00000e+00  
 20.7 1.7813e+01  14 1.00000e+00  
 20.8 1.7891e+01  14 1.00000e+00  
 20.9 1.7968e+01  14 1.00000e+00  
 21.0 1.8017e+01  14 1.00000e+00  
 21.1 1.8093e+01  14 1.00000e+00  
 21.2 1.8170e+01  14 1.00000e+00  
 21.3 1.8248e+01  14 1.00000e+00  
 21.4 1.8324e+01  14 1.00000e+00  
 21.5 1.8401e+01  14 1.00000e+00  
 21.6 1.8476e+01  14 1.00000e+00  
 21.7 1.8522e+01  14 1.00000e+00  
 21.8 1.8597e+01  14 1.00000e+00  
 21.9 1.8672e+01  14 1.00000e+00  
 22.0 1.8748e+01  14 1.00000e+00  
 22.1 1.8824e+01  14 1.00000e+00  
 22.2 1.8899e+01  14 1.00000e+00  
 22.3 1.8973e+01  14 1.00000e+00  
 22.4 1.9047e+01  14 1.00000e+00  
 22.5 1.9089e+01  14 1.00000e+00  
 22.6 1.9163e+01  14 1.00000e+00  
 22.7 1.9236e+01  14 1.00000e+00  
 22.8 1.9311e+01  14 1.00000e+00  
 22.9 1.9384e+01  14 1.00000e+00  
 23.0 1.9457e+01  14 1.00000e+00  
 23.1 1.9529e+01  14 1.00000e+00  
 23.2 1.9601e+01  14 1.00000e+00  
 23.3 5.5449e+00  14 2.47853e-01  
 23.4 5.6566e+00  14 2.52849e-01  
 23.5 5.7697e+00  14 2.57884e-01  
 23.6 5.8843e+00  14 2.62927e-01  
 23.7 6.0002e+00  14 2.68036e-01  
 23.8 6.1174e+00  14 2.73185e-01  
 23.9 6.2361e+00  14 2.78372e-01  
 24.0 6.3541e+00  14 2.83993e-01  
 24.1 6.4752e+00  14 2.89253e-01  
 24.2 6.5977e+00  14 2.94547e-01  
 24.3 6.7218e+00  14 2.99841e-01  
 24.4 6.8471e+00  14 3.05206e-01  
 24.5 6.9738e+00  14 3.10607e-01  
 24.6 7.1018e+00  14 3.16044e-01  
 24.7 7.2270e+00  14 3.21896e-01  
 24.8 7.3575e+00  14 3.27402e-01  
 24.9 7.4893e+00  14 3.32942e-01  
 25.0 7.6227e+00  14 3.38505e-01  
 25.1 7.7576e+00  14 3.44096e-01  
 25.2 7.8935e+00  14 3.49740e-01  
 25.3 8.0309e+00  14 3.55418e-01  
 25.4 8.1695e+00  14 3.61138e-01  
 25.5 8.3027e+00  14 3.67234e-01  
 25.6 8.4438e+00  14 3.73014e-01  
 25.7 8.5862e+00  14 3.78829e-01  
 25.8 8.7307e+00  14 3.84645e-01  
 25.9 8.8760e+00  14 3.90525e-01  
 26.0 9.0225e+00  14 3.96442e-01  
 26.1 9.1703e+00  14 4.02392e-01  
 26.2 9.3102e+00  14 4.08699e-01  
 26.3 9.4603e+00  14 4.14714e-01  
 26.4 9.6119e+00  14 4.20760e-01  
 26.5 9.7657e+00  14 4.26814e-01  
 26.6 9.9202e+00  14 4.32918e-01  
 26.7 1.0076e+01  14 4.39064e-01  
 26.8 1.0233e+01  14 4.45244e-01  
 26.9 1.0391e+01  14 4.51458e-01  
 27.0 1.0538e+01  14 4.57999e-01  
 27.1 1.0699e+01  14 4.64271e-01  
 27.2 1.0860e+01  14 4.70576e-01  
 27.3 1.1025e+01  14 4.76881e-01  
 27.4 1.1190e+01  14 4.83248e-01  
 27.5 1.1356e+01  14 4.89654e-01  
 27.6 1.1523e+01  14 4.96090e-01  
 27.7 1.1675e+01  14 5.02828e-01  
 27.8 1.1845e+01  14 5.09322e-01  
 27.9 1.2016e+01  14 5.15846e-01  
 28.0 1.2190e+01  14 5.22375e-01  
 28.1 1.2363e+01  14 5.28963e-01  
 28.2 1.2538e+01  14 5.35585e-01  
 28.3 1.2714e+01  14 5.42238e-01  
 28.4 1.2871e+01  14 5.49175e-01  
 28.5 1.3050e+01  14 5.55918e-01  
 28.6 1.3230e+01  14 5.62660e-01  
 28.7 1.3411e+01  14 5.69426e-01  
 28.8 1.3595e+01  14 5.76212e-01  
 28.9 1.3778e+01  14 5.83047e-01  
 29.0 1.3963e+01  14 5.89916e-01  
 29.1 1.4149e+01  14 5.96815e-01  
 29.2 1.4311e+01  14 6.03970e-01  
 29.3 1.4499e+01  14 6.10925e-01  
 29.4 1.4689e+01  14 6.17912e-01  
 29.5 1.4882e+01  14 6.24906e-01  
 29.6 1.5074e+01  14 6.31955e-01  
 29.7 1.5267e+01  14 6.39033e-01  
 29.8 1.5461e+01  14 6.46142e-01  
 29.9 1.5628e+01  14 6.53485e-01  
