 15.1 1.2956e+00  13 9.04884e-02  
 15.2 1.3023e+00  13 9.46393e-02  
 15.3 1.3173e+00  13 1.02505e-01  
 15.4 1.3242e+00  13 1.08159e-01  
 15.5 1.3310e+00  13 1.11447e-01  
 15.6 1.3379e+00  13 1.17100e-01  
 15.7 1.3448e+00  13 1.21277e-01  
 15.8 1.3516e+00  13 1.21277e-01  
 15.9 1.3584e+00  13 1.22829e-01  
 16.0 1.3653e+00  13 1.24249e-01  
 16.1 1.3721e+00  13 1.24357e-01  
 16.2 1.3789e+00  13 1.26524e-01  
 16.3 1.3857e+00  13 1.27042e-01  
 16.4 1.3924e+00  13 1.27838e-01  
 16.5 1.3992e+00  13 1.28608e-01  
 16.6 1.4059e+00  13 1.29988e-01  
 16.7 1.4126e+00  13 1.30126e-01  
 16.8 1.4194e+00  13 1.31514e-01  
 16.9 1.4261e+00  13 1.31550e-01  
 17.0 1.4327e+00  13 1.32644e-01  
 17.1 1.4504e+00  13 1.35557e-01  
 17.2 1.4573e+00  13 1.35002e-01  
 17.3 1.4641e+00  13 1.36589e-01  
 17.4 1.4708e+00  13 1.36343e-01  
 17.5 1.4776e+00  13 1.37668e-01  
 17.6 1.4843e+00  13 1.39850e-01  
 17.7 1.4911e+00  13 1.39589e-01  
 17.8 1.4978e+00  13 1.40441e-01  
 17.9 1.5046e+00  13 1.41439e-01  
 18.0 1.5113e+00  13 1.40942e-01  
 18.1 1.5180e+00  13 1.42422e-01  
 18.2 1.5249e+00  13 1.42742e-01  
 18.3 1.5316e+00  13 1.44350e-01  
 18.4 1.5382e+00  13 1.44157e-01  
 18.5 1.5448e+00  13 1.44876e-01  
 18.6 1.5515e+00  13 1.46997e-01  
 18.7 1.5581e+00  13 1.47522e-01  
 18.8 1.5647e+00  13 1.47932e-01  
 18.9 1.5713e+00  13 1.48325e-01  
 19.0 1.5779e+00  13 1.48757e-01  
 19.1 1.5845e+00  13 1.49231e-01  
 19.2 1.5911e+00  13 1.49746e-01  
 19.3 1.5976e+00  13 1.50319e-01  
 19.4 1.6042e+00  13 1.50945e-01  
 19.5 1.6257e+00  13 1.49917e-01  
 19.6 1.6324e+00  13 1.50998e-01  
 19.7 1.6391e+00  13 1.51867e-01  
 19.8 1.6460e+00  13 1.51529e-01  
 19.9 1.6527e+00  13 1.53031e-01  
 20.0 1.6594e+00  13 1.53290e-01  
 20.1 1.6661e+00  13 1.52981e-01  
 20.2 1.6728e+00  13 1.52875e-01  
 20.3 1.6795e+00  13 1.53763e-01  
 20.4 1.6861e+00  13 1.53578e-01  
 20.5 1.6928e+00  13 1.54537e-01  
 20.6 1.6994e+00  13 1.54510e-01  
 20.7 1.7060e+00  13 1.56089e-01  
 20.8 1.7126e+00  13 1.55272e-01  
 20.9 1.7192e+00  13 1.55423e-01  
 21.0 1.7257e+00  13 1.56136e-01  
 21.1 1.7323e+00  13 1.56216e-01  
 21.2 1.7388e+00  13 1.56986e-01  
 21.3 1.7453e+00  13 1.57069e-01  
 21.4 1.7518e+00  13 1.57251e-01  
 21.5 1.7611e+00  13 1.57625e-01  
 21.6 1.7708e+00  13 1.58755e-01  
 21.7 1.7805e+00  13 1.60637e-01  
 21.8 1.7776e+00  13 1.59349e-01  
 21.9 1.7840e+00  13 1.60393e-01  
 22.0 1.7844e+00  13 1.68997e-01  
 22.1 1.7850e+00  13 1.69034e-01  
 22.2 1.7850e+00  13 1.69032e-01  
 22.3 1.7867e+00  13 1.69128e-01  
 22.4 1.7865e+00  13 1.69117e-01  
 22.5 1.7872e+00  13 1.69154e-01  
 22.6 1.7875e+00  13 1.69171e-01  
 22.7 1.7880e+00  13 1.69200e-01  
 22.8 1.7883e+00  13 1.69215e-01  
