 15.1 1.3126e+00  13 7.89625e-02  
 15.2 1.3196e+00  13 8.21538e-02  
 15.3 1.3265e+00  13 8.40385e-02  
 15.4 1.3335e+00  13 8.76776e-02  
 15.5 1.3405e+00  13 8.96533e-02  
 15.6 1.3474e+00  13 9.33506e-02  
 15.7 1.3544e+00  13 9.58612e-02  
 15.8 1.3613e+00  13 9.90661e-02  
 15.9 1.3683e+00  13 1.02334e-01  
 16.0 1.3827e+00  13 1.09420e-01  
 16.1 1.3898e+00  13 1.11648e-01  
 16.2 1.3969e+00  13 1.16638e-01  
 16.3 1.4040e+00  13 1.18935e-01  
 16.4 1.4110e+00  13 1.24172e-01  
 16.5 1.4181e+00  13 1.27077e-01  
 16.6 1.4251e+00  13 1.31138e-01  
 16.7 1.4321e+00  13 1.31068e-01  
 16.8 1.4391e+00  13 1.32324e-01  
 16.9 1.4461e+00  13 1.33632e-01  
 17.0 1.4531e+00  13 1.33456e-01  
 17.1 1.4601e+00  13 1.34641e-01  
 17.2 1.4671e+00  13 1.35922e-01  
 17.3 1.4741e+00  13 1.35832e-01  
 17.4 1.4812e+00  13 1.37398e-01  
 17.5 1.4881e+00  13 1.38053e-01  
 17.6 1.4951e+00  13 1.38516e-01  
 17.7 1.5021e+00  13 1.39437e-01  
 17.8 1.5090e+00  13 1.39290e-01  
 17.9 1.5159e+00  13 1.40673e-01  
 18.0 1.5329e+00  13 1.42653e-01  
 18.1 1.5400e+00  13 1.43169e-01  
 18.2 1.5470e+00  13 1.43415e-01  
 18.3 1.5541e+00  13 1.44738e-01  
 18.4 1.5611e+00  13 1.44306e-01  
 18.5 1.5681e+00  13 1.45141e-01  
 18.6 1.5752e+00  13 1.45872e-01  
 18.7 1.5822e+00  13 1.45967e-01  
 18.8 1.5892e+00  13 1.47575e-01  
 18.9 1.5962e+00  13 1.47908e-01  
 19.0 1.6030e+00  13 1.48050e-01  
 19.1 1.6098e+00  13 1.48351e-01  
 19.2 1.6167e+00  13 1.48752e-01  
 19.3 1.6236e+00  13 1.49142e-01  
 19.4 1.6305e+00  13 1.49585e-01  
 19.5 1.6376e+00  13 1.50232e-01  
 19.6 1.6446e+00  13 1.50750e-01  
 19.7 1.6515e+00  13 1.51271e-01  
 19.8 1.6584e+00  13 1.51840e-01  
 19.9 1.6653e+00  13 1.51788e-01  
 20.0 1.6722e+00  13 1.52367e-01  
 20.1 1.6791e+00  13 1.52985e-01  
 20.2 1.6859e+00  13 1.53618e-01  
 20.3 1.6928e+00  13 1.53601e-01  
 20.4 1.6996e+00  13 1.53096e-01  
 20.5 1.7064e+00  13 1.53350e-01  
 20.6 1.7132e+00  13 1.53723e-01  
 20.7 1.7201e+00  13 1.54134e-01  
 20.8 1.7303e+00  13 1.55432e-01  
 20.9 1.7626e+00  13 1.59860e-01  
 21.0 1.7732e+00  13 1.60178e-01  
 21.1 1.7839e+00  13 1.61306e-01  
 21.2 1.7947e+00  13 1.62663e-01  
 21.3 1.8054e+00  13 1.64024e-01  
 21.4 1.8162e+00  13 1.65419e-01  
 21.5 1.8271e+00  13 1.67043e-01  
 21.6 1.8381e+00  13 1.68126e-01  
 21.7 1.8467e+00  13 1.68677e-01  
 21.8 1.8575e+00  13 1.69904e-01  
 21.9 1.8684e+00  13 1.70433e-01  
 22.0 1.8794e+00  13 1.72318e-01  
 22.1 1.8292e+00  13 1.62098e-01  
 22.2 1.8360e+00  13 1.62441e-01  
 22.3 1.8395e+00  13 1.70173e-01  
 22.4 1.8402e+00  13 1.70210e-01  
 22.5 1.8409e+00  13 1.70247e-01  
 22.6 1.8430e+00  13 1.70350e-01  
 22.7 1.8442e+00  13 1.70413e-01  
 22.8 1.8454e+00  13 1.70474e-01  
 22.9 1.8465e+00  13 1.70527e-01  
 23.0 1.8481e+00  13 1.70608e-01  
 23.1 1.8493e+00  13 1.70669e-01  
 23.2 1.8502e+00  13 1.70711e-01  
 23.3 1.8511e+00  13 1.70757e-01  
 23.4 1.8533e+00  13 1.70864e-01  
 23.5 1.8544e+00  13 1.70923e-01  
 23.6 1.8561e+00  13 1.71004e-01  
 23.7 1.8570e+00  13 1.71048e-01  
 23.8 1.8587e+00  13 1.71131e-01  
 23.9 1.8604e+00  13 1.71217e-01  
 24.0 1.8618e+00  13 1.71285e-01  
 24.1 1.8631e+00  13 1.71347e-01  
 24.2 1.8640e+00  13 1.71390e-01  
 24.3 1.8659e+00  13 1.71481e-01  
 24.4 1.8668e+00  13 1.71524e-01  
 24.5 1.8684e+00  13 1.71606e-01  
 24.6 1.8704e+00  13 1.71700e-01  
 24.7 1.8720e+00  13 1.71778e-01  
 24.8 1.8729e+00  13 1.71821e-01  
 24.9 1.8743e+00  13 1.71889e-01  
 25.0 1.8750e+00  13 1.71921e-01  
 25.1 1.8767e+00  13 1.72002e-01  
 25.2 1.8791e+00  13 1.72118e-01  
 25.3 1.8806e+00  13 1.72186e-01  
 25.4 1.8809e+00  13 1.72201e-01  
 25.5 1.8828e+00  13 1.72291e-01  
 25.6 1.8855e+00  13 1.72417e-01  
 25.7 1.8865e+00  13 1.72463e-01  
 25.8 1.9002e+00  13 1.73106e-01  
 25.9 1.9015e+00  13 1.73163e-01  
 26.0 1.9037e+00  13 1.73265e-01  
 26.1 1.9057e+00  13 1.73358e-01  
 26.2 1.9073e+00  13 1.73430e-01  
 26.3 1.9092e+00  13 1.73516e-01  
 26.4 1.9116e+00  13 1.73623e-01  
 26.5 1.9138e+00  13 1.73722e-01  
 26.6 1.9148e+00  13 1.73771e-01  
 26.7 1.9178e+00  13 1.73902e-01  
 26.8 1.9186e+00  13 1.73938e-01  
 26.9 1.9212e+00  13 1.74056e-01  
 27.0 1.9231e+00  13 1.74139e-01  
 27.1 7.1129e+00  14 1.00000e+00  
 27.2 7.1195e+00  14 1.00000e+00  
 27.3 7.1328e+00  14 1.00000e+00  
 27.4 7.1387e+00  14 1.00000e+00  
 27.5 7.1496e+00  14 1.00000e+00  
 27.6 7.1568e+00  14 1.00000e+00  
 27.7 7.1701e+00  14 1.00000e+00  
 27.8 7.1791e+00  14 1.00000e+00  
 27.9 7.1864e+00  14 1.00000e+00  
 28.0 7.1928e+00  14 1.00000e+00  
 28.1 7.2001e+00  14 1.00000e+00  
 28.2 7.2049e+00  14 1.00000e+00  
 28.3 7.2225e+00  14 1.00000e+00  
 28.4 7.2293e+00  14 1.00000e+00  
 28.5 7.2309e+00  14 1.00000e+00  
 28.6 7.2431e+00  14 1.00000e+00  
 28.7 7.2504e+00  14 1.00000e+00  
 28.8 7.2614e+00  14 1.00000e+00  
 28.9 7.2706e+00  14 1.00000e+00  
 29.0 7.2810e+00  14 1.00000e+00  
 29.1 7.2877e+00  14 1.00000e+00  
 29.2 7.3006e+00  14 1.00000e+00  
 29.3 7.3049e+00  14 1.00000e+00  
 29.4 7.3193e+00  14 1.00000e+00  
 29.5 7.3285e+00  14 1.00000e+00  
 29.6 7.3373e+00  14 1.00000e+00  
 29.7 7.3448e+00  14 1.00000e+00  
 29.8 7.3571e+00  14 1.00000e+00  
 29.9 7.3670e+00  14 1.00000e+00  
 30.0 7.3748e+00  14 1.00000e+00  
 30.1 7.3840e+00  14 1.00000e+00  
 30.2 7.3917e+00  14 1.00000e+00  
 30.3 7.4040e+00  14 1.00000e+00  
