 15.1 1.3979e+00  13 4.20647e-02  
 15.2 1.4056e+00  13 4.25072e-02  
 15.3 1.4132e+00  13 4.29460e-02  
 15.4 1.4209e+00  13 4.33808e-02  
 15.5 1.4285e+00  13 4.38115e-02  
 15.6 1.4362e+00  13 4.42385e-02  
 15.7 1.4438e+00  13 4.46617e-02  
 15.8 1.4515e+00  13 4.50812e-02  
 15.9 1.4591e+00  13 4.54973e-02  
 16.0 1.4668e+00  13 4.59098e-02  
 16.1 1.4744e+00  13 4.63191e-02  
 16.2 1.4821e+00  13 4.67250e-02  
 16.3 1.4897e+00  13 4.71277e-02  
 16.4 1.4973e+00  13 4.75273e-02  
 16.5 1.5050e+00  13 4.79238e-02  
 16.6 1.5126e+00  13 4.83476e-02  
 16.7 1.5203e+00  13 4.87392e-02  
 16.8 1.5279e+00  13 4.91283e-02  
 16.9 1.5356e+00  13 4.95147e-02  
 17.0 1.5432e+00  13 4.98986e-02  
 17.1 1.5509e+00  13 5.02805e-02  
 17.2 1.5585e+00  13 5.06524e-02  
 17.3 1.5662e+00  13 5.10289e-02  
 17.4 1.5738e+00  13 5.14034e-02  
 17.5 1.5815e+00  13 5.18104e-02  
 17.6 1.5891e+00  13 5.21816e-02  
 17.7 1.5967e+00  13 5.25509e-02  
 17.8 1.6044e+00  13 5.29182e-02  
 17.9 1.6120e+00  13 5.32843e-02  
 18.0 1.6197e+00  13 5.36399e-02  
 18.1 1.6273e+00  13 5.40396e-02  
 18.2 1.6349e+00  13 5.44007e-02  
 18.3 1.6426e+00  13 5.47602e-02  
 18.4 1.6502e+00  13 5.51182e-02  
 18.5 1.6578e+00  13 5.54755e-02  
 18.6 1.6655e+00  13 5.58720e-02  
 18.7 1.6731e+00  13 5.62175e-02  
 18.8 1.6807e+00  13 5.65709e-02  
 18.9 1.6883e+00  13 5.69237e-02  
 19.0 1.6960e+00  13 5.73184e-02  
 19.1 1.7036e+00  13 5.76709e-02  
 19.2 1.7112e+00  13 5.80114e-02  
 19.3 1.7215e+00  13 5.85823e-02  
 19.4 1.7334e+00  13 5.93325e-02  
 19.5 1.7454e+00  13 6.00447e-02  
 19.6 1.7575e+00  13 6.07623e-02  
 19.7 1.7697e+00  13 6.15195e-02  
 19.8 1.7819e+00  13 6.22459e-02  
 19.9 1.7942e+00  13 6.29786e-02  
 20.0 1.8066e+00  13 6.37670e-02  
 20.1 1.8191e+00  13 6.45073e-02  
 20.2 1.8317e+00  13 6.53005e-02  
 20.3 1.8444e+00  13 6.60577e-02  
 20.4 1.8572e+00  13 6.68733e-02  
 20.5 1.8700e+00  13 6.76450e-02  
 20.6 1.8830e+00  13 6.84605e-02  
 20.7 1.8960e+00  13 6.92446e-02  
 20.8 1.9091e+00  13 7.00903e-02  
 20.9 1.9223e+00  13 7.09443e-02  
 21.0 1.6120e+01  14 1.00000e+00  
 21.1 1.6130e+01  14 1.00000e+00  
 21.2 1.6171e+01  14 1.00000e+00  
 21.3 1.6212e+01  14 1.00000e+00  
 21.4 1.6255e+01  14 1.00000e+00  
 21.5 1.6295e+01  14 1.00000e+00  
 21.6 1.6333e+01  14 1.00000e+00  
 21.7 1.6371e+01  14 1.00000e+00  
 21.8 1.6412e+01  14 1.00000e+00  
 21.9 1.6449e+01  14 1.00000e+00  
 22.0 1.6484e+01  14 1.00000e+00  
 22.1 1.6523e+01  14 1.00000e+00  
 22.2 1.6558e+01  14 1.00000e+00  
 22.3 1.6592e+01  14 1.00000e+00  
 22.4 1.6625e+01  14 1.00000e+00  
 22.5 1.6661e+01  14 1.00000e+00  
 22.6 1.6693e+01  14 1.00000e+00  
 22.7 1.6724e+01  14 1.00000e+00  
 22.8 1.6754e+01  14 1.00000e+00  
 22.9 1.6787e+01  14 1.00000e+00  
 23.0 1.6816e+01  14 1.00000e+00  
 23.1 1.6844e+01  14 1.00000e+00  
 23.2 1.6875e+01  14 1.00000e+00  
 23.3 1.6901e+01  14 1.00000e+00  
 23.4 1.6926e+01  14 1.00000e+00  
 23.5 1.6950e+01  14 1.00000e+00  
 23.6 1.6978e+01  14 1.00000e+00  
 23.7 1.7000e+01  14 1.00000e+00  
 23.8 1.7022e+01  14 1.00000e+00  
 23.9 1.7047e+01  14 1.00000e+00  
 24.0 1.7069e+01  14 1.00000e+00  
 24.1 5.4967e+00  14 2.83948e-01  
 24.2 5.5837e+00  14 2.88978e-01  
 24.3 5.6713e+00  14 2.93953e-01  
 24.4 5.7592e+00  14 2.99030e-01  
 24.5 5.8475e+00  14 3.04134e-01  
 24.6 5.9363e+00  14 3.09267e-01  
 24.7 6.0257e+00  14 3.14337e-01  
 24.8 6.1153e+00  14 3.19515e-01  
 24.9 6.2053e+00  14 3.24719e-01  
 25.0 6.2960e+00  14 3.29866e-01  
 25.1 6.3867e+00  14 3.35110e-01  
 25.2 6.4778e+00  14 3.40382e-01  
 25.3 6.5693e+00  14 3.45681e-01  
 25.4 6.6616e+00  14 3.50915e-01  
 25.5 6.7537e+00  14 3.56248e-01  
 25.6 6.8462e+00  14 3.61608e-01  
 25.7 6.9389e+00  14 3.66995e-01  
 25.8 7.0327e+00  14 3.72313e-01  
 25.9 7.1262e+00  14 3.77735e-01  
 26.0 7.2199e+00  14 3.83179e-01  
 26.1 7.3138e+00  14 3.88649e-01  
 26.2 7.4091e+00  14 3.94046e-01  
 26.3 7.5036e+00  14 3.99550e-01  
 26.4 7.5984e+00  14 4.05078e-01  
 26.5 7.6934e+00  14 4.10625e-01  
 26.6 7.7900e+00  14 4.16098e-01  
 26.7 7.8857e+00  14 4.21678e-01  
 26.8 7.9807e+00  14 4.27232e-01  
 26.9 8.0766e+00  14 4.32855e-01  
 27.0 8.1744e+00  14 4.38401e-01  
 27.1 8.2710e+00  14 4.44051e-01  
 27.2 8.3677e+00  14 4.49723e-01  
 27.3 8.4654e+00  14 4.55458e-01  
 27.4 8.5643e+00  14 4.61077e-01  
 27.5 8.6617e+00  14 4.66800e-01  
 27.6 8.7593e+00  14 4.72542e-01  
 27.7 8.8571e+00  14 4.78299e-01  
 27.8 8.9552e+00  14 4.84072e-01  
 27.9 9.0556e+00  14 4.89775e-01  
 28.0 9.1540e+00  14 4.95582e-01  
 28.1 9.2525e+00  14 5.01407e-01  
 28.2 9.3512e+00  14 5.07252e-01  
 28.3 9.4527e+00  14 5.13019e-01  
 28.4 9.5520e+00  14 5.18887e-01  
 28.5 9.6514e+00  14 5.24772e-01  
 28.6 9.7509e+00  14 5.30674e-01  
 28.7 9.8505e+00  14 5.36593e-01  
 28.8 9.9512e+00  14 5.42502e-01  
 28.9 1.0053e+01  14 5.48391e-01  
 29.0 1.0154e+01  14 5.54356e-01  
 29.1 1.0254e+01  14 5.60336e-01  
 29.2 1.0355e+01  14 5.66326e-01  
 29.3 1.0455e+01  14 5.72333e-01  
 29.4 1.0560e+01  14 5.78279e-01  
 29.5 1.0661e+01  14 5.84304e-01  
 29.6 1.0763e+01  14 5.90353e-01  
 29.7 1.0864e+01  14 5.96422e-01  
 29.8 1.0965e+01  14 6.02505e-01  
 29.9 1.1067e+01  14 6.08607e-01  
 30.0 1.1173e+01  14 6.14634e-01  
 30.1 1.1275e+01  14 6.20763e-01  
 30.2 1.1377e+01  14 6.26898e-01  
 30.3 1.1480e+01  14 6.33046e-01  
 30.4 1.1582e+01  14 6.39210e-01  
 30.5 1.1685e+01  14 6.45388e-01  
 30.6 1.1788e+01  14 6.51580e-01  
 30.7 1.1891e+01  14 6.57787e-01  
