 15.1 1.3650e+00  13 4.45901e-02  
 15.2 1.3725e+00  13 4.51585e-02  
 15.3 1.3800e+00  13 4.57390e-02  
 15.4 1.3875e+00  13 4.63003e-02  
 15.5 1.3950e+00  13 4.68588e-02  
 15.6 1.4078e+00  13 4.78052e-02  
 15.7 1.4154e+00  13 4.83639e-02  
 15.8 1.4230e+00  13 4.89382e-02  
 15.9 1.4306e+00  13 4.94921e-02  
 16.0 1.4383e+00  13 5.00623e-02  
 16.1 1.4459e+00  13 5.06120e-02  
 16.2 1.4535e+00  13 5.11797e-02  
 16.3 1.4611e+00  13 5.18013e-02  
 16.4 1.4687e+00  13 5.23370e-02  
 16.5 1.4764e+00  13 5.28836e-02  
 16.6 1.4840e+00  13 5.34291e-02  
 16.7 1.4916e+00  13 5.39731e-02  
 16.8 1.4992e+00  13 5.45158e-02  
 16.9 1.5068e+00  13 5.50586e-02  
 17.0 1.5144e+00  13 5.55994e-02  
 17.1 1.5221e+00  13 5.61398e-02  
 17.2 1.5297e+00  13 5.66797e-02  
 17.3 1.5373e+00  13 5.72193e-02  
 17.4 1.5449e+00  13 5.77563e-02  
 17.5 1.5525e+00  13 5.82745e-02  
 17.6 1.5601e+00  13 5.88143e-02  
 17.7 1.5677e+00  13 5.93523e-02  
 17.8 1.5753e+00  13 5.98918e-02  
 17.9 1.5829e+00  13 6.04323e-02  
 18.0 1.5905e+00  13 6.09732e-02  
 18.1 1.5981e+00  13 6.15161e-02  
 18.2 1.6057e+00  13 6.20599e-02  
 18.3 1.6133e+00  13 6.25775e-02  
 18.4 1.6209e+00  13 6.31224e-02  
 18.5 1.6285e+00  13 6.36691e-02  
 18.6 1.6361e+00  13 6.42176e-02  
 18.7 1.6437e+00  13 6.47684e-02  
 18.8 1.6513e+00  13 6.53215e-02  
 18.9 1.6589e+00  13 6.58751e-02  
 19.0 1.6665e+00  13 6.64031e-02  
 19.1 1.6741e+00  13 6.69612e-02  
 19.2 1.6816e+00  13 6.75226e-02  
 19.3 1.6892e+00  13 6.80874e-02  
 19.4 1.6974e+00  13 6.87210e-02  
 19.5 1.7089e+00  13 6.97256e-02  
 19.6 1.7205e+00  13 7.07047e-02  
 19.7 1.7322e+00  13 7.17312e-02  
 19.8 1.7440e+00  13 7.27723e-02  
 19.9 1.7558e+00  13 7.38286e-02  
 20.0 1.7677e+00  13 7.48997e-02  
 20.1 1.7797e+00  13 7.59476e-02  
 20.2 1.7918e+00  13 7.70453e-02  
 20.3 1.8040e+00  13 7.81601e-02  
 20.4 1.8162e+00  13 7.92922e-02  
 20.5 1.8285e+00  13 8.04410e-02  
 20.6 1.8409e+00  13 8.15628e-02  
 20.7 1.8533e+00  13 8.27419e-02  
 20.8 1.8659e+00  13 8.39402e-02  
 20.9 1.8785e+00  13 8.51579e-02  
 21.0 1.8912e+00  13 8.63946e-02  
 21.1 1.9040e+00  13 8.76009e-02  
 21.2 1.9169e+00  13 8.88729e-02  
 21.3 1.2969e+01  14 1.00000e+00  
 21.4 1.2961e+01  14 1.00000e+00  
 21.5 1.2958e+01  14 1.00000e+00  
 21.6 1.2949e+01  14 1.00000e+00  
 21.7 1.2937e+01  14 1.00000e+00  
 21.8 1.2925e+01  14 1.00000e+00  
 21.9 1.2911e+01  14 1.00000e+00  
 22.0 1.2903e+01  14 1.00000e+00  
 22.1 1.2888e+01  14 1.00000e+00  
 22.2 1.2870e+01  14 1.00000e+00  
 22.3 1.2851e+01  14 1.00000e+00  
 22.4 1.2839e+01  14 1.00000e+00  
 22.5 1.2819e+01  14 1.00000e+00  
 22.6 1.2797e+01  14 1.00000e+00  
 22.7 1.2774e+01  14 1.00000e+00  
 22.8 1.2758e+01  14 1.00000e+00  
 22.9 1.2733e+01  14 1.00000e+00  
 23.0 1.2706e+01  14 1.00000e+00  
 23.1 1.2678e+01  14 1.00000e+00  
 23.2 1.2658e+01  14 1.00000e+00  
 23.3 1.2629e+01  14 1.00000e+00  
 23.4 1.2598e+01  14 1.00000e+00  
 23.5 1.2566e+01  14 1.00000e+00  
 23.6 1.2542e+01  14 1.00000e+00  
 23.7 1.2509e+01  14 1.00000e+00  
 23.8 1.2474e+01  14 1.00000e+00  
 23.9 1.2438e+01  14 1.00000e+00  
 24.0 1.2411e+01  14 1.00000e+00  
 24.1 1.2373e+01  14 1.00000e+00  
 24.2 1.2335e+01  14 1.00000e+00  
 24.3 1.2296e+01  14 1.00000e+00  
 24.4 1.2265e+01  14 1.00000e+00  
 24.5 1.2224e+01  14 1.00000e+00  
 24.6 1.2183e+01  14 1.00000e+00  
 24.7 5.5330e+00  14 4.12181e-01  
 24.8 5.5805e+00  14 4.17799e-01  
 24.9 5.6276e+00  14 4.23499e-01  
 25.0 5.6740e+00  14 4.29376e-01  
 25.1 5.7201e+00  14 4.35322e-01  
 25.2 5.7655e+00  14 4.41052e-01  
 25.3 5.8104e+00  14 4.46770e-01  
 25.4 5.8544e+00  14 4.52714e-01  
 25.5 5.8982e+00  14 4.58751e-01  
 25.6 5.9409e+00  14 4.64747e-01  
 25.7 5.9838e+00  14 4.70335e-01  
 25.8 6.0251e+00  14 4.76348e-01  
 25.9 6.0658e+00  14 4.82379e-01  
 26.0 6.1058e+00  14 4.88405e-01  
 26.1 6.1453e+00  14 4.94370e-01  
 26.2 6.1850e+00  14 5.00041e-01  
 26.3 6.2229e+00  14 5.06091e-01  
 26.4 6.2600e+00  14 5.12158e-01  
 26.5 6.2963e+00  14 5.18233e-01  
 26.6 6.3336e+00  14 5.23858e-01  
 26.7 6.3686e+00  14 5.29913e-01  
 26.8 6.3996e+00  14 5.36718e-01  
 26.9 6.4249e+00  14 5.44518e-01  
 27.0 6.4157e+00  14 5.59536e-01  
 27.1 6.4081e+00  14 5.73730e-01  
 27.2 6.4235e+00  14 5.82383e-01  
 27.3 6.4014e+00  14 5.98800e-01  
 27.4 6.3845e+00  14 6.13685e-01  
 27.5 6.3804e+00  14 6.25313e-01  
 27.6 6.4026e+00  14 6.30885e-01  
 27.7 6.4437e+00  14 6.32478e-01  
 27.8 6.4839e+00  14 6.34432e-01  
 27.9 6.5345e+00  14 6.34657e-01  
 28.0 6.5766e+00  14 6.36690e-01  
 28.1 6.6207e+00  14 6.38549e-01  
 28.2 6.6662e+00  14 6.40349e-01  
 28.3 6.7128e+00  14 6.42177e-01  
 28.4 6.7585e+00  14 6.44306e-01  
 28.5 6.8034e+00  14 6.46684e-01  
 28.6 6.8496e+00  14 6.49025e-01  
 28.7 6.9005e+00  14 6.50924e-01  
 28.8 6.9496e+00  14 6.53193e-01  
 28.9 6.9761e+00  14 6.58178e-01  
 29.0 7.0012e+00  14 6.63253e-01  
 29.1 7.0302e+00  14 6.67850e-01  
 29.2 7.0753e+00  14 6.70733e-01  
 29.3 7.1192e+00  14 6.73830e-01  
 29.4 7.1647e+00  14 6.76835e-01  
 29.5 7.1371e+00  14 6.72280e-01  
 29.6 7.1173e+00  14 6.78774e-01  
 29.7 7.1442e+00  14 6.80215e-01  
 29.8 7.1584e+00  14 6.80972e-01  
 29.9 7.1816e+00  14 6.82220e-01  
 30.0 7.2020e+00  14 6.83317e-01  
 30.1 7.2220e+00  14 6.84394e-01  
 30.2 7.2476e+00  14 6.85778e-01  
 30.3 7.2737e+00  14 6.87185e-01  
 30.4 7.2919e+00  14 6.88170e-01  
 30.5 7.3077e+00  14 6.89027e-01  
 30.6 7.3319e+00  14 6.90341e-01  
 30.7 7.3585e+00  14 6.91789e-01  
 30.8 7.3895e+00  14 6.93474e-01  
 30.9 7.4086e+00  14 6.94514e-01  
 31.0 7.4349e+00  14 6.95954e-01  
 31.1 7.4639e+00  14 6.97538e-01  
 31.2 7.4770e+00  14 6.98251e-01  
 31.3 7.4953e+00  14 6.99253e-01  
 31.4 7.5308e+00  14 7.01202e-01  
 31.5 7.5412e+00  14 7.01772e-01  
 31.6 7.5736e+00  14 7.03547e-01  
 31.7 7.5941e+00  14 7.04672e-01  
 31.8 7.6303e+00  14 7.06664e-01  
 31.9 7.6542e+00  14 7.07980e-01  
 32.0 7.6738e+00  14 7.09060e-01  
 32.1 7.6970e+00  14 7.10336e-01  
 32.2 7.7140e+00  14 7.11275e-01  
 32.3 7.7469e+00  14 7.13087e-01  
 32.4 7.7793e+00  14 7.14874e-01  
 32.5 7.7976e+00  14 7.15887e-01  
 32.6 7.8254e+00  14 7.17420e-01  
 32.7 7.8554e+00  14 7.19079e-01  
 32.8 7.8769e+00  14 7.20271e-01  
 32.9 7.9156e+00  14 7.22414e-01  
 33.0 7.9281e+00  14 7.23104e-01  
 33.1 7.9631e+00  14 7.25043e-01  
 33.2 7.9831e+00  14 7.26155e-01  
 33.3 8.0107e+00  14 7.27685e-01  
 33.4 8.0299e+00  14 7.28751e-01  
 33.5 8.0596e+00  14 7.30399e-01  
 33.6 8.0979e+00  14 7.32524e-01  
 33.7 8.1224e+00  14 7.33882e-01  
 33.8 8.1561e+00  14 7.35754e-01  
 33.9 8.1786e+00  14 7.37002e-01  
 34.0 8.2070e+00  14 7.38581e-01  
 34.1 8.2361e+00  14 7.40197e-01  
 34.2 8.2576e+00  14 7.41390e-01  
 34.3 8.2898e+00  14 7.43177e-01  
 34.4 8.3127e+00  14 7.44448e-01  
 34.5 8.3509e+00  14 7.46570e-01  
 34.6 8.3860e+00  14 7.48523e-01  
 34.7 8.4044e+00  14 7.49542e-01  
 34.8 8.4328e+00  14 7.51122e-01  
 34.9 8.4541e+00  14 7.52306e-01  
 35.0 8.4853e+00  14 7.54033e-01  
 35.1 8.5148e+00  14 7.55672e-01  
 35.2 8.5428e+00  14 7.57230e-01  
 35.3 8.5711e+00  14 7.58803e-01  
 35.4 8.5984e+00  14 7.60318e-01  
 35.5 8.6268e+00  14 7.61894e-01  
 35.6 8.6545e+00  14 7.63430e-01  
 35.7 8.6822e+00  14 7.64972e-01  
 35.8 8.7074e+00  14 7.66370e-01  
 35.9 8.7445e+00  14 7.68424e-01  
 36.0 8.7724e+00  14 7.69973e-01  
 36.1 8.7993e+00  14 7.71467e-01  
 36.2 8.8413e+00  14 7.73795e-01  
 36.3 8.8706e+00  14 7.75417e-01  
 36.4 8.8950e+00  14 7.76766e-01  
 36.5 8.9258e+00  14 7.78475e-01  
 36.6 8.9489e+00  14 7.79749e-01  
 36.7 8.9790e+00  14 7.81418e-01  
 36.8 8.9985e+00  14 7.82494e-01  
 36.9 9.0336e+00  14 7.84434e-01  
 37.0 9.0725e+00  14 7.86587e-01  
 37.1 9.0915e+00  14 7.87636e-01  
 37.2 9.1195e+00  14 7.89180e-01  
 37.3 9.1573e+00  14 7.91269e-01  
 37.4 9.1852e+00  14 7.92806e-01  
 37.5 9.2114e+00  14 7.94249e-01  
 37.6 9.2571e+00  14 7.96767e-01  
 37.7 9.2872e+00  14 7.98428e-01  
 37.8 9.3103e+00  14 7.99702e-01  
 37.9 9.3555e+00  14 8.02190e-01  
