 15.1 1.3829e+00  13 4.27042e-02  
 15.2 1.3905e+00  13 4.31951e-02  
 15.3 1.3982e+00  13 4.36824e-02  
 15.4 1.4058e+00  13 4.41658e-02  
 15.5 1.4134e+00  13 4.46456e-02  
 15.6 1.4211e+00  13 4.51214e-02  
 15.7 1.4287e+00  13 4.55941e-02  
 15.8 1.4363e+00  13 4.60630e-02  
 15.9 1.4440e+00  13 4.65288e-02  
 16.0 1.4516e+00  13 4.69914e-02  
 16.1 1.4592e+00  13 4.74511e-02  
 16.2 1.4669e+00  13 4.79082e-02  
 16.3 1.4745e+00  13 4.83623e-02  
 16.4 1.4821e+00  13 4.88339e-02  
 16.5 1.4898e+00  13 4.92832e-02  
 16.6 1.4974e+00  13 4.97308e-02  
 16.7 1.5051e+00  13 5.01711e-02  
 16.8 1.5127e+00  13 5.06071e-02  
 16.9 1.5203e+00  13 5.10473e-02  
 17.0 1.5280e+00  13 5.15078e-02  
 17.1 1.5356e+00  13 5.19454e-02  
 17.2 1.5432e+00  13 5.23811e-02  
 17.3 1.5509e+00  13 5.28153e-02  
 17.4 1.5585e+00  13 5.32720e-02  
 17.5 1.5661e+00  13 5.37043e-02  
 17.6 1.5737e+00  13 5.41348e-02  
 17.7 1.5814e+00  13 5.45765e-02  
 17.8 1.5890e+00  13 5.50051e-02  
 17.9 1.5966e+00  13 5.54585e-02  
 18.0 1.6042e+00  13 5.58869e-02  
 18.1 1.6119e+00  13 5.63403e-02  
 18.2 1.6195e+00  13 5.67943e-02  
 18.3 1.6271e+00  13 5.73727e-02  
 18.4 1.6347e+00  13 5.77955e-02  
 18.5 1.6424e+00  13 5.82317e-02  
 18.6 1.6500e+00  13 5.86682e-02  
 18.7 1.6576e+00  13 5.91052e-02  
 18.8 1.6652e+00  13 5.95432e-02  
 18.9 1.6728e+00  13 5.99740e-02  
 19.0 1.6804e+00  13 6.04033e-02  
 19.1 1.6880e+00  13 6.08415e-02  
 19.2 1.6956e+00  13 6.12802e-02  
 19.3 1.7032e+00  13 6.17207e-02  
 19.4 1.7147e+00  13 6.25077e-02  
 19.5 1.7264e+00  13 6.33210e-02  
 19.6 1.7383e+00  13 6.41523e-02  
 19.7 1.7502e+00  13 6.49923e-02  
 19.8 1.7622e+00  13 6.58412e-02  
 19.9 1.7743e+00  13 6.66796e-02  
 20.0 1.7865e+00  13 6.75430e-02  
 20.1 1.7987e+00  13 6.84161e-02  
 20.2 1.8110e+00  13 6.92989e-02  
 20.3 1.8234e+00  13 7.01918e-02  
 20.4 1.8359e+00  13 7.10708e-02  
 20.5 1.8485e+00  13 7.19802e-02  
 20.6 1.8611e+00  13 7.29003e-02  
 20.7 1.8738e+00  13 7.38314e-02  
 20.8 1.8867e+00  13 7.47480e-02  
 20.9 1.8996e+00  13 7.56974e-02  
 21.0 1.9125e+00  13 7.66586e-02  
 21.1 1.4855e+01  14 1.00000e+00  
 21.2 1.4880e+01  14 1.00000e+00  
 21.3 1.4899e+01  14 1.00000e+00  
 21.4 1.4917e+01  14 1.00000e+00  
 21.5 1.4935e+01  14 1.00000e+00  
 21.6 1.4956e+01  14 1.00000e+00  
 21.7 1.4972e+01  14 1.00000e+00  
 21.8 1.4987e+01  14 1.00000e+00  
 21.9 1.5000e+01  14 1.00000e+00  
 22.0 1.5019e+01  14 1.00000e+00  
 22.1 1.5031e+01  14 1.00000e+00  
 22.2 1.5043e+01  14 1.00000e+00  
 22.3 1.5053e+01  14 1.00000e+00  
 22.4 1.5068e+01  14 1.00000e+00  
 22.5 1.5077e+01  14 1.00000e+00  
 22.6 1.5085e+01  14 1.00000e+00  
 22.7 1.5096e+01  14 1.00000e+00  
 22.8 1.5105e+01  14 1.00000e+00  
 22.9 1.5111e+01  14 1.00000e+00  
 23.0 1.5115e+01  14 1.00000e+00  
 23.1 1.5125e+01  14 1.00000e+00  
 23.2 1.5129e+01  14 1.00000e+00  
 23.3 1.5132e+01  14 1.00000e+00  
 23.4 1.5133e+01  14 1.00000e+00  
 23.5 1.5141e+01  14 1.00000e+00  
 23.6 1.5141e+01  14 1.00000e+00  
 23.7 1.5141e+01  14 1.00000e+00  
 23.8 1.5141e+01  14 1.00000e+00  
 23.9 1.5145e+01  14 1.00000e+00  
 24.0 1.5143e+01  14 1.00000e+00  
 24.1 1.5140e+01  14 1.00000e+00  
 24.2 1.5143e+01  14 1.00000e+00  
 24.3 1.5139e+01  14 1.00000e+00  
 24.4 5.5236e+00  14 3.24828e-01  
 24.5 5.5946e+00  14 3.29946e-01  
 24.6 5.6656e+00  14 3.34912e-01  
 24.7 5.7367e+00  14 3.40056e-01  
 24.8 5.8077e+00  14 3.45223e-01  
 24.9 5.8788e+00  14 3.50410e-01  
 25.0 5.9502e+00  14 3.55461e-01  
 25.1 6.0212e+00  14 3.60679e-01  
 25.2 6.0922e+00  14 3.65914e-01  
 25.3 6.1632e+00  14 3.71174e-01  
 25.4 6.2347e+00  14 3.76281e-01  
 25.5 6.3057e+00  14 3.81566e-01  
 25.6 6.3765e+00  14 3.86872e-01  
 25.7 6.4472e+00  14 3.92194e-01  
 25.8 6.5188e+00  14 3.97358e-01  
 25.9 6.5893e+00  14 4.02682e-01  
 26.0 6.6598e+00  14 4.08039e-01  
 26.1 6.7301e+00  14 4.13415e-01  
