 15.1 1.4538e+00  13 4.48078e-02  
 15.2 1.4614e+00  13 4.51697e-02  
 15.3 1.4690e+00  13 4.55277e-02  
 15.4 1.4766e+00  13 4.58815e-02  
 15.5 1.4841e+00  13 4.62313e-02  
 15.6 1.4917e+00  13 4.65773e-02  
 15.7 1.4993e+00  13 4.69193e-02  
 15.8 1.5068e+00  13 4.72053e-02  
 15.9 1.5144e+00  13 4.75388e-02  
 16.0 1.5220e+00  13 4.78684e-02  
 16.1 1.5295e+00  13 4.81943e-02  
 16.2 1.5371e+00  13 4.85165e-02  
 16.3 1.5447e+00  13 4.88349e-02  
 16.4 1.5522e+00  13 4.91499e-02  
 16.5 1.5598e+00  13 4.94613e-02  
 16.6 1.5673e+00  13 4.97692e-02  
 16.7 1.5749e+00  13 5.00737e-02  
 16.8 1.5825e+00  13 5.03750e-02  
 16.9 1.5900e+00  13 5.06729e-02  
 17.0 1.5976e+00  13 5.09674e-02  
 17.1 1.6051e+00  13 5.12589e-02  
 17.2 1.6127e+00  13 5.15474e-02  
 17.3 1.6202e+00  13 5.18327e-02  
 17.4 1.6278e+00  13 5.21152e-02  
 17.5 1.6353e+00  13 5.23947e-02  
 17.6 1.6429e+00  13 5.26713e-02  
 17.7 1.6504e+00  13 5.29450e-02  
 17.8 1.6580e+00  13 5.32158e-02  
 17.9 1.6655e+00  13 5.34840e-02  
 18.0 1.6730e+00  13 5.37495e-02  
 18.1 1.6806e+00  13 5.39372e-02  
 18.2 1.6881e+00  13 5.41963e-02  
 18.3 1.6957e+00  13 5.44529e-02  
 18.4 1.7032e+00  13 5.47067e-02  
 18.5 1.7107e+00  13 5.49581e-02  
 18.6 1.7191e+00  13 5.52699e-02  
 18.7 1.7313e+00  13 5.58733e-02  
 18.8 1.7437e+00  13 5.64786e-02  
 18.9 1.7561e+00  13 5.70857e-02  
 19.0 1.7686e+00  13 5.76947e-02  
 19.1 1.7812e+00  13 5.83057e-02  
 19.2 1.7939e+00  13 5.89187e-02  
 19.3 1.8067e+00  13 5.95337e-02  
 19.4 1.8196e+00  13 6.01509e-02  
 19.5 1.8326e+00  13 6.07703e-02  
 19.6 1.8457e+00  13 6.13919e-02  
 19.7 1.8589e+00  13 6.20157e-02  
 19.8 1.8722e+00  13 6.26418e-02  
 19.9 1.8856e+00  13 6.32704e-02  
 20.0 1.8991e+00  13 6.39013e-02  
 20.1 1.9127e+00  13 6.45346e-02  
 20.2 1.7537e+01  14 1.00000e+00  
 20.3 1.7619e+01  14 1.00000e+00  
 20.4 1.7701e+01  14 1.00000e+00  
 20.5 1.7783e+01  14 1.00000e+00  
 20.6 1.7865e+01  14 1.00000e+00  
 20.7 1.7946e+01  14 1.00000e+00  
 20.8 1.8027e+01  14 1.00000e+00  
 20.9 1.8108e+01  14 1.00000e+00  
 21.0 1.8189e+01  14 1.00000e+00  
 21.1 1.8270e+01  14 1.00000e+00  
 21.2 1.8319e+01  14 1.00000e+00  
 21.3 1.8400e+01  14 1.00000e+00  
 21.4 1.8481e+01  14 1.00000e+00  
 21.5 1.8560e+01  14 1.00000e+00  
 21.6 1.8640e+01  14 1.00000e+00  
 21.7 1.8719e+01  14 1.00000e+00  
 21.8 1.8798e+01  14 1.00000e+00  
 21.9 1.8877e+01  14 1.00000e+00  
 22.0 1.8924e+01  14 1.00000e+00  
 22.1 1.9002e+01  14 1.00000e+00  
 22.2 1.9083e+01  14 1.00000e+00  
 22.3 1.9161e+01  14 1.00000e+00  
 22.4 1.9239e+01  14 1.00000e+00  
 22.5 1.9317e+01  14 1.00000e+00  
 22.6 1.9394e+01  14 1.00000e+00  
 22.7 1.9472e+01  14 1.00000e+00  
 22.8 1.9516e+01  14 1.00000e+00  
 22.9 1.9592e+01  14 1.00000e+00  
 23.0 1.9671e+01  14 1.00000e+00  
 23.1 5.5037e+00  14 2.44255e-01  
 23.2 5.6169e+00  14 2.49249e-01  
 23.3 5.7316e+00  14 2.54283e-01  
 23.4 5.8478e+00  14 2.59356e-01  
 23.5 5.9654e+00  14 2.64475e-01  
 23.6 6.0845e+00  14 2.69631e-01  
 23.7 6.2034e+00  14 2.75235e-01  
 23.8 6.3252e+00  14 2.80462e-01  
 23.9 6.4486e+00  14 2.85695e-01  
 24.0 6.5734e+00  14 2.90995e-01  
 24.1 6.6997e+00  14 2.96338e-01  
 24.2 6.8274e+00  14 3.01718e-01  
 24.3 6.9566e+00  14 3.07137e-01  
 24.4 7.0873e+00  14 3.12592e-01  
 24.5 7.2153e+00  14 3.18460e-01  
 24.6 7.3487e+00  14 3.23983e-01  
 24.7 7.4837e+00  14 3.29535e-01  
 24.8 7.6203e+00  14 3.35115e-01  
 24.9 7.7581e+00  14 3.40750e-01  
 25.0 7.8974e+00  14 3.46422e-01  
 25.1 8.0383e+00  14 3.52130e-01  
 25.2 8.1806e+00  14 3.57873e-01  
 25.3 8.3244e+00  14 3.63652e-01  
 25.4 8.4625e+00  14 3.69811e-01  
 25.5 8.6089e+00  14 3.75659e-01  
 25.6 8.7575e+00  14 3.81514e-01  
 25.7 8.9070e+00  14 3.87432e-01  
 25.8 9.0579e+00  14 3.93385e-01  
 25.9 9.2104e+00  14 3.99372e-01  
 26.0 9.3644e+00  14 4.05395e-01  
 26.1 9.5198e+00  14 4.11455e-01  
 26.2 9.6664e+00  14 4.17861e-01  
 26.3 9.8245e+00  14 4.23985e-01  
 26.4 9.9840e+00  14 4.30145e-01  
 26.5 1.0146e+01  14 4.36312e-01  
 26.6 1.0309e+01  14 4.42537e-01  
 26.7 1.0473e+01  14 4.48797e-01  
 26.8 1.0638e+01  14 4.55093e-01  
 26.9 1.0805e+01  14 4.61424e-01  
 27.0 1.0974e+01  14 4.67789e-01  
 27.1 1.1130e+01  14 4.74465e-01  
 27.2 1.1301e+01  14 4.80893e-01  
 27.3 1.1473e+01  14 4.87354e-01  
 27.4 1.1649e+01  14 4.93823e-01  
 27.5 1.1825e+01  14 5.00348e-01  
 27.6 1.2002e+01  14 5.06911e-01  
 27.7 1.2180e+01  14 5.13507e-01  
 27.8 1.2360e+01  14 5.20137e-01  
 27.9 1.2542e+01  14 5.26799e-01  
 28.0 1.2707e+01  14 5.33739e-01  
 28.1 1.2891e+01  14 5.40461e-01  
 28.2 1.3077e+01  14 5.47213e-01  
 28.3 1.3265e+01  14 5.53982e-01  
 28.4 1.3454e+01  14 5.60805e-01  
 28.5 1.3644e+01  14 5.67661e-01  
 28.6 1.3836e+01  14 5.74549e-01  
 28.7 1.4029e+01  14 5.81470e-01  
 28.8 1.4200e+01  14 5.88640e-01  
 28.9 1.4396e+01  14 5.95620e-01  
 29.0 1.4593e+01  14 6.02633e-01  
 29.1 1.4793e+01  14 6.09669e-01  
 29.2 1.4994e+01  14 6.16735e-01  
 29.3 1.5195e+01  14 6.23848e-01  
 29.4 1.5398e+01  14 6.30992e-01  
 29.5 1.5603e+01  14 6.38168e-01  
 29.6 1.5809e+01  14 6.45372e-01  
 29.7 1.5988e+01  14 6.52796e-01  
 29.8 1.6196e+01  14 6.60063e-01  
 29.9 1.6406e+01  14 6.67362e-01  
 30.0 1.6619e+01  14 6.74683e-01  
 30.1 1.6833e+01  14 6.82040e-01  
 30.2 1.7047e+01  14 6.89437e-01  
 30.3 1.7263e+01  14 6.96866e-01  
 30.4 1.7480e+01  14 7.04326e-01  
 30.5 1.7699e+01  14 7.11818e-01  
 30.6 1.7884e+01  14 7.19492e-01  
 30.7 1.8105e+01  14 7.27043e-01  
 30.8 1.8328e+01  14 7.34626e-01  
 30.9 1.8554e+01  14 7.42231e-01  
 31.0 1.8781e+01  14 7.49871e-01  
 31.1 1.9008e+01  14 7.57549e-01  
 31.2 1.9236e+01  14 7.65260e-01  
 31.3 1.9465e+01  14 7.73002e-01  
 31.4 1.9696e+01  14 7.80776e-01  
 31.5 1.9887e+01  14 7.88696e-01  
